aX,aY,aZ,gX,gY,gZ,label
0.249,0.021,1.355,-9.033,9.949,-81.238,3beats_3
0.192,0.128,1.3119999999999998,-2.869,3.235,-77.454,None
0.172,0.204,1.296,5.127000000000002,-1.709,-68.054,None
0.13699999999999998,0.224,1.277,6.957999999999998,-4.333,-62.43899999999999,None
0.105,0.158,1.206,11.23,-10.071,-50.17100000000001,None
0.101,0.093,1.16,13.306,-12.207,-44.678,None
0.073,-0.006999999999999999,1.044,16.235,-16.113,-37.598,None
0.069,-0.032,0.988,15.747,-17.517,-35.217,None
0.054000000000000006,-0.044,0.907,15.198,-18.188,-30.823,None
0.047,-0.042,0.879,15.503,-17.456,-26.367,None
0.037000000000000005,-0.054000000000000006,0.8270000000000001,13.733,-17.273,-23.743,None
0.023,-0.057,0.789,11.78,-15.93,-18.982,None
0.013,-0.073,0.7709999999999999,10.864,-15.137,-16.296,None
-0.004,-0.091,0.736,7.4460000000000015,-14.587,-11.658,None
-0.01,-0.103,0.7190000000000001,6.348,-13.611,-9.521,None
-0.024,-0.111,0.6940000000000001,1.465,-12.146,-5.737,None
-0.028,-0.115,0.693,0.8540000000000001,-10.254,-3.723,None
-0.031,-0.13,0.7340000000000001,2.258,-6.042000000000002,0.5489999999999999,None
-0.03,-0.14,0.7709999999999999,3.6010000000000004,-1.648,4.944,None
-0.015,-0.193,0.871,5.615,-0.061,7.019,None
-0.008,-0.231,0.995,4.883,1.953,10.193,None
-0.003,-0.26,1.0659999999999998,5.31,2.38,11.78,None
0.013,-0.326,1.236,7.629,1.648,14.099,None
0.021,-0.364,1.328,8.057,-0.183,14.709,None
0.023,-0.411,1.418,6.47,-6.897,15.503,None
0.048,-0.506,1.571,3.54,-11.963,15.076,None
0.05,-0.513,1.632,-6.5920000000000005,-25.94,12.755999999999998,None
0.057,-0.493,1.635,-10.498,-32.959,11.902,None
0.062,-0.49,1.64,-15.625,-45.288,12.329,None
0.078,-0.525,1.638,-15.442,-50.537,13.062,None
0.093,-0.6,1.633,-12.085,-61.584,13.245,None
0.099,-0.62,1.614,-9.705,-67.322,12.634,None
0.118,-0.6709999999999999,1.517,-1.526,-78.247,10.864,None
0.126,-0.708,1.413,1.831,-86.182,8.301,None
0.13699999999999998,-0.775,1.381,3.418,-89.6,6.348,None
0.168,-0.861,1.275,9.155,-95.154,1.404,None
0.16899999999999998,-0.88,1.235,14.587,-96.985,-2.38,None
0.162,-0.906,1.204,32.288000000000004,-97.29,-9.949,None
0.166,-0.914,1.169,37.476,-98.083,-14.832,None
0.161,-0.8170000000000001,1.073,30.334,-102.722,-25.269,None
0.14800000000000002,-0.732,1.011,12.634,-108.398,-32.776,None
0.125,-0.586,0.899,3.2960000000000003,-110.474,-34.546,None
0.091,-0.444,0.74,-10.925,-114.441,-35.339,None
0.069,-0.383,0.645,-13.672,-115.723,-34.668,None
0.024,-0.307,0.451,-12.695,-115.54,-31.25,None
0.002,-0.275,0.349,-12.573,-114.258,-29.419,None
-0.065,-0.207,0.179,-12.268,-107.91,-24.719,None
-0.1,-0.187,0.11,-13.0,-97.9,-19.104,None
-0.161,-0.17,-0.023,-13.55,-92.407,-16.357,None
-0.226,-0.151,-0.129,-15.076,-78.918,-10.864,None
-0.257,-0.14400000000000002,-0.189,-12.451,-61.707,-5.92,None
-0.292,-0.171,-0.18,-9.888,-51.819,-3.967,None
-0.32,-0.179,-0.117,-3.479,-32.837,-0.244,None
-0.329,-0.163,0.006,8.301,-14.832,2.502,None
-0.336,-0.157,0.078,12.268,-7.751,4.089,None
-0.336,-0.139,0.212,12.878,2.38,7.812,None
-0.336,-0.133,0.269,11.902,6.042000000000002,9.705,None
-0.331,-0.13699999999999998,0.362,10.559,10.498,14.220999999999998,None
-0.326,-0.162,0.413,12.755999999999998,12.268,16.357,None
-0.31,-0.222,0.467,15.198,14.648,19.775,None
-0.31,-0.265,0.591,13.306,12.695,20.63,None
-0.301,-0.31,0.5870000000000001,2.6860000000000004,6.5920000000000005,20.447,None
-0.289,-0.297,0.503,-7.5070000000000014,5.432,19.958,None
-0.28800000000000003,-0.197,0.305,-23.132,6.775,19.836,None
-0.289,-0.146,0.204,-25.085,11.353,20.508000000000006,None
-0.27,-0.045,0.135,-19.958,24.78,22.522,None
-0.267,0.019,0.156,-17.578,32.104,23.804,None
-0.242,0.153,0.243,-12.939,46.631,28.748,None
-0.229,0.207,0.301,-16.907,59.265,37.903,None
-0.191,0.272,0.4370000000000001,-20.63,64.087,43.152,None
-0.14300000000000002,0.294,0.617,-25.513,72.14399999999998,54.13800000000001,None
-0.118,0.285,0.7040000000000001,-29.419,74.036,60.425,None
-0.084,0.258,0.828,-40.466,75.134,72.632,None
-0.062,0.24,0.8540000000000001,-44.8,75.07300000000002,78.918,None
-0.004,0.15,0.821,-48.096,75.134,91.37,None
0.019,0.077,0.807,-46.692,77.087,97.168,None
0.08900000000000001,-0.029,0.8109999999999999,-46.082,81.848,106.567,None
0.116,-0.08199999999999999,0.8029999999999999,-44.067,85.75399999999998,110.168,None
0.202,-0.146,0.913,-44.25,94.177,117.188,None
0.238,-0.14800000000000002,1.037,-48.279,95.947,120.3,None
0.317,-0.229,1.431,-31.494,95.093,125.488,None
0.328,-0.354,1.65,-12.451,86.914,129.88299999999998,None
0.387,-0.648,1.913,3.479,80.566,129.578,None
0.393,-1.018,2.114,25.757,63.538,126.404,None
0.406,-1.224,2.068,33.508,52.124,123.169,None
0.419,-1.4380000000000002,2.109,43.396,24.78,106.384,None
0.3720000000000001,-1.609,2.036,12.512,13.55,94.543,None
0.373,-1.7919999999999998,1.947,17.456,2.8080000000000003,82.947,None
0.322,-1.847,1.6969999999999998,0.8540000000000001,-18.799,53.162,None
0.263,-1.804,1.5719999999999998,0.4270000000000001,-26.733,38.51300000000001,3beats_1
0.221,-1.514,1.318,-15.625,-40.344,12.329,None
0.191,-1.371,1.193,-21.057,-45.044,2.502,None
0.15,-1.083,0.957,-25.818,-49.133,-10.62,None
0.124,-0.95,0.768,-27.588,-48.462,-17.639,None
0.091,-0.7440000000000001,0.6809999999999999,-26.062,-47.058,-19.531,None
0.057,-0.5760000000000001,0.544,-20.02,-41.199,-20.691,None
0.049,-0.515,0.491,-16.846,-36.987,-19.897,None
0.033,-0.44,0.4,-11.536,-28.198,-16.968,None
0.027000000000000003,-0.421,0.3670000000000001,-10.132,-23.376,-14.954,None
0.013,-0.41,0.326,-9.46,-13.672,-10.925,None
0.017,-0.409,0.313,-9.277,-9.094,-7.263,None
0.034,-0.483,0.309,-6.226,0.732,-6.165,None
0.054000000000000006,-0.612,0.307,-3.662,9.705,-6.165,None
0.076,-0.629,0.298,-4.333,13.306,-7.324,None
0.109,-0.705,0.3,-7.263,22.095,-11.841,None
