aX,aY,aZ,gX,gY,gZ,beat_change,beat
0.89,-1.61,0.502,-18.982,0.305,-178.04,3beats_3,3
0.915,-1.4509999999999998,0.619,-15.808,3.845,-190.491,None,3
0.923,-1.285,0.711,-13.0,4.883,-201.599,None,3
0.928,-1.124,0.7979999999999999,-8.667,4.333,-211.06,None,3
0.963,-0.995,0.885,-5.127000000000002,3.54,-218.75,None,3
0.999,-0.888,0.907,-5.797999999999999,0.61,-225.281,None,3
1.002,-0.785,0.847,-5.5539999999999985,-3.54,-231.628,None,3
1.013,-0.655,0.77,-2.991,-5.066,-238.281,None,3
1.004,-0.503,0.727,1.038,-4.089,-244.69,None,3
0.991,-0.32,0.7390000000000001,9.399,-0.61,-249.695,None,3
0.954,-0.103,0.8109999999999999,19.775,5.127000000000002,-253.662,None,3
0.873,0.171,0.963,32.41,11.108,-256.409,None,3
0.818,0.453,1.206,46.387,17.639,-256.28700000000003,None,3
0.737,0.6890000000000001,1.421,60.242,21.423,-251.77,None,3
0.625,0.904,1.546,73.425,21.179,-244.263,None,3
0.502,1.0590000000000002,1.619,81.421,19.104,-234.07,None,3
0.398,1.202,1.6840000000000002,82.88600000000002,16.296,-221.375,None,3
0.293,1.287,1.693,83.13,12.207,-206.543,None,3
0.215,1.317,1.672,78.55199999999998,7.202000000000001,-190.247,None,3
0.12,1.291,1.568,72.449,1.16,-172.791,None,3
0.048,1.219,1.444,68.115,-3.723,-156.433,None,3
-0.003,1.101,1.332,62.13399999999999,-6.47,-140.259,None,3
-0.054000000000000006,0.998,1.214,54.382,-8.423,-126.648,None,3
-0.104,0.915,1.124,46.021,-9.644,-114.807,None,3
-0.142,0.8759999999999999,1.064,38.879,-9.644,-104.431,None,3
-0.179,0.856,1.014,33.997,-9.399,-94.971,None,3
-0.203,0.802,0.938,32.471,-9.46,-85.32700000000001,None,3
-0.245,0.7509999999999999,0.8440000000000001,30.212,-8.911,-76.172,None,3
-0.28300000000000003,0.7090000000000001,0.7609999999999999,27.039,-7.629,-67.81,None,3
-0.302,0.68,0.701,22.339,-4.7,-59.57,None,3
-0.332,0.638,0.638,18.677,-1.587,-51.697,None,3
-0.36,0.579,0.588,16.296,1.953,-44.25,None,3
-0.382,0.55,0.517,16.418,7.324,-37.659,None,3
-0.387,0.547,0.509,16.357,13.489,-31.799,None,3
-0.393,0.547,0.539,17.517,19.043,-26.245,None,3
-0.45,0.609,0.339,20.203,23.926,-20.569000000000006,None,3
-0.374,0.6779999999999999,0.5579999999999999,18.494,32.227,-12.695,None,3
-0.366,0.568,0.685,20.508000000000006,29.053,-7.4460000000000015,None,3
-0.39,0.536,0.6729999999999999,18.188,29.297,-1.3430000000000002,None,3
-0.366,0.499,0.84,12.939,31.738000000000003,5.615,None,3
-0.334,0.359,1.078,9.888,29.663,11.414,None,3
-0.318,0.26,1.237,5.981,26.978,17.334,None,3
-0.307,0.208,1.28,0.122,23.743,22.766,None,3
-0.28,0.198,1.3159999999999998,-6.5310000000000015,19.836,27.588,None,3
-0.282,0.199,1.3030000000000002,-8.423,14.648,32.043,None,3
-0.287,0.179,1.324,-7.629,11.23,35.828,None,3
-0.274,0.14800000000000002,1.42,-4.272,9.155,39.124,None,3
-0.256,0.107,1.496,2.563,7.5070000000000014,42.48,None,3
-0.256,0.064,1.545,11.108,4.211,45.166,None,3
-0.244,0.024,1.6269999999999998,18.188,0.0,47.302,None,3
-0.235,-0.03,1.715,23.499,-4.6389999999999985,49.316,None,3
-0.249,-0.085,1.828,29.175,-9.644,50.537,None,3
-0.244,-0.141,2.009,35.828,-14.465,51.636,None,3
-0.203,-0.195,2.244,41.62600000000001,-21.118,52.612,None,3
-0.172,-0.254,2.447,47.302,-32.471,53.162,None,3
-0.156,-0.315,2.634,57.434,-47.363,51.941,None,3
-0.079,-0.41,2.841,65.491,-63.416,50.659,None,3
-0.005,-0.507,2.934,66.04,-83.374,49.683,None,3
0.032,-0.56,2.929,63.599,-107.3,46.082,None,3
0.12,-0.623,2.917,56.824,-130.67600000000002,42.053,None,3
0.209,-0.66,2.759,47.729,-154.114,37.659,None,3
0.273,-0.7240000000000001,2.5,39.795,-179.199,32.288000000000004,None,3
0.376,-0.861,2.239,29.419,-200.68400000000003,27.588,None,3
0.42,-1.038,1.908,21.301,-219.055,22.034,None,3
0.467,-1.131,1.663,22.339,-232.605,11.597,None,3
0.52,-1.206,1.492,27.832,-241.211,0.6709999999999999,None,3
0.5479999999999999,-1.182,1.307,31.982,-249.084,-11.597,None,3
0.532,-1.062,1.165,32.532,-256.714,-24.658,3beats_1,3
0.547,-0.853,1.097,26.367,-262.329,-36.438,None,3
0.565,-0.624,0.991,18.066,-269.10400000000004,-43.762,None,3
0.5760000000000001,-0.483,0.838,7.5070000000000014,-276.733,-46.631,None,3
0.564,-0.459,0.648,-7.263,-283.264,-44.617,None,3
0.528,-0.5489999999999999,0.407,-18.311,-286.621,-40.344,None,3
0.474,-0.618,0.17800000000000002,-19.653,-285.522,-38.025,None,3
0.441,-0.693,-0.025,-11.23,-278.931,-37.415,None,3
0.388,-0.728,-0.22,-4.272,-269.531,-38.086,None,3
0.261,-0.682,-0.429,-1.953,-259.521,-40.894,None,3
0.17600000000000002,-0.615,-0.57,-1.77,-246.338,-43.213,None,3
0.07400000000000001,-0.515,-0.6729999999999999,-9.583,-231.14,-44.556,None,3
-0.034,-0.393,-0.7879999999999999,-19.348,-216.37,-44.18899999999999,None,3
-0.131,-0.309,-0.906,-29.907,-200.928,-40.955,None,3
-0.267,-0.248,-1.048,-35.706,-185.303,-36.438,None,3
-0.377,-0.187,-1.13,-37.231,-166.748,-31.86,None,3
-0.443,-0.114,-1.167,-35.4,-146.79,-26.611,None,3
-0.525,-0.107,-1.222,-27.649,-128.235,-20.508000000000006,None,3
-0.601,-0.102,-1.236,-18.677,-108.765,-14.954,None,3
-0.645,-0.057,-1.167,-13.062,-88.196,-10.559,None,3
-0.6829999999999999,0.004,-1.071,-10.376,-69.275,-6.226,None,3
-0.706,0.058,-0.95,-12.024,-53.345,-1.465,None,3
-0.7290000000000001,0.08199999999999999,-0.8240000000000001,-16.724,-40.527,4.456,None,3
