aX,aY,aZ,gX,gY,gZ,beat_change,beat
0.173,-0.062,0.915,5.066,2.502,10.864,3beats_3,3
0.18,-0.081,0.909,5.676,3.906,11.169,None,3
0.179,-0.104,0.919,4.944,4.883,11.902,None,3
0.187,-0.129,0.925,6.836,5.92,11.719,None,3
0.183,-0.154,0.95,5.188,5.797999999999999,11.597,None,3
0.197,-0.171,0.961,5.371,6.104,9.888,None,3
0.199,-0.17,0.972,5.005,5.371,8.545,None,3
0.206,-0.171,0.964,2.319,4.944,6.836,None,3
0.196,-0.155,0.961,1.404,4.7,5.981,None,3
0.198,-0.134,0.959,-0.7929999999999999,4.761,5.005,None,3
0.2,-0.116,0.97,0.0,4.822,3.967,None,3
0.202,-0.096,0.984,1.648,5.188,2.869,None,3
0.205,-0.069,0.992,2.258,5.188,1.831,None,3
0.204,-0.034,0.982,2.014,4.395,0.977,None,3
0.181,0.013,0.992,0.6709999999999999,3.845,0.61,None,3
0.183,0.001,1.001,2.075,4.0280000000000005,2.075,None,3
0.185,0.001,1.012,3.479,4.395,3.784,None,3
0.188,-0.006,1.017,2.563,4.211,4.761,None,3
0.187,-0.012,1.02,2.502,3.235,5.797999999999999,None,3
0.19,-0.015,1.019,2.991,2.441,6.348,None,3
0.195,-0.016,1.023,4.0280000000000005,2.075,6.348,None,3
0.191,0.012,1.023,4.7,1.709,6.165,None,3
0.192,0.035,1.04,5.737,1.3430000000000002,5.92,None,3
0.19,0.076,1.039,7.08,0.4270000000000001,5.615,None,3
0.191,0.122,1.039,7.935,0.305,6.348,None,3
0.187,0.168,1.029,8.789,-0.305,7.4460000000000015,None,3
0.18600000000000005,0.185,1.036,9.521,-0.6709999999999999,9.399,None,3
0.181,0.175,1.023,9.888,-1.038,11.963,None,3
0.165,0.187,1.022,9.705,-0.916,14.465,None,3
0.173,0.18,1.03,10.315,0.061,16.785,None,3
0.161,0.19,1.038,11.414,0.0,19.104,None,3
0.155,0.204,1.054,10.681,0.5489999999999999,20.691,None,3
0.14300000000000002,0.234,1.072,8.545,0.488,22.461,None,3
0.146,0.258,1.144,7.996,2.136,23.987,None,3
0.147,0.297,1.205,7.874,2.258,25.94,None,3
0.15,0.321,1.271,6.165,1.3430000000000002,28.259,None,3
0.149,0.343,1.317,9.583,-0.61,30.64,None,3
0.149,0.377,1.3630000000000002,13.916,-2.747,33.081,None,3
0.162,0.399,1.41,17.517,-5.615,36.133,None,3
0.142,0.416,1.4380000000000002,19.043,-9.033,39.612,None,3
0.146,0.425,1.49,24.17,-11.78,43.335,None,3
0.15,0.423,1.537,33.02,-15.442,47.18,None,3
0.163,0.423,1.586,35.95,-20.569000000000006,51.392,None,3
0.162,0.423,1.614,34.058,-27.1,56.213,None,3
0.17800000000000002,0.397,1.649,34.973,-34.241,61.34,None,3
0.188,0.37,1.609,32.288000000000004,-42.542,65.55199999999999,None,3
0.219,0.331,1.567,28.564,-49.927,69.946,None,3
0.224,0.28300000000000003,1.519,28.625,-56.335,73.303,None,3
0.257,0.249,1.491,32.349000000000004,-60.913,75.684,None,3
0.279,0.224,1.459,34.729,-65.308,77.393,None,3
0.29600000000000004,0.23,1.4580000000000002,39.49,-69.092,79.22399999999998,None,3
0.298,0.21600000000000005,1.472,41.992,-72.815,81.29899999999998,None,3
0.312,0.203,1.4880000000000002,45.898,-76.477,84.10600000000002,None,3
0.315,0.16899999999999998,1.521,49.744,-81.848,87.402,None,3
0.363,0.08,1.506,57.129,-87.463,90.393,None,3
0.368,0.016,1.46,56.458,-94.849,92.773,None,3
0.391,-0.079,1.425,60.181,-101.379,94.116,None,3
