aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.418,0.6459999999999999,-0.599,-9.878,-12.5,-9.207,3beats_3,3
-0.423,0.6459999999999999,-0.604,-9.573,-13.415,-9.512,None,3
-0.426,0.643,-0.596,-9.39,-14.512,-9.634,None,3
-0.4270000000000001,0.6459999999999999,-0.599,-9.451,-15.61,-9.573,None,3
-0.445,0.643,-0.604,-9.695,-16.646,-9.756,None,3
-0.454,0.638,-0.606,-9.695,-17.317,-9.878,None,3
-0.458,0.636,-0.604,-9.878,-16.951,-9.939,None,3
-0.461,0.636,-0.597,-9.817,-16.340999999999998,-10.183,None,3
-0.463,0.636,-0.593,-9.512,-15.915,-10.122,None,3
-0.462,0.637,-0.6,-9.39,-15.671,-10.0,None,3
-0.461,0.634,-0.607,-9.512,-15.915,-9.817,None,3
-0.465,0.628,-0.601,-9.634,-16.707,-9.939,None,3
-0.464,0.625,-0.597,-9.451,-17.622,-9.695,None,3
-0.467,0.629,-0.606,-9.39,-17.561,-9.634,None,3
-0.475,0.627,-0.605,-9.39,-16.951,-9.634,None,3
-0.478,0.623,-0.605,-9.451,-16.159000000000002,-9.634,None,3
-0.476,0.626,-0.611,-9.39,-15.549,-9.573,None,3
-0.469,0.624,-0.61,-9.695,-15.122,-9.451,None,3
-0.468,0.621,-0.608,-9.817,-15.0,-9.573,None,3
-0.462,0.623,-0.615,-10.183,-14.755999999999998,-9.512,None,3
-0.461,0.629,-0.616,-10.305,-15.061,-9.451,None,3
-0.453,0.632,-0.619,-10.793,-15.793,-9.268,None,3
-0.441,0.638,-0.615,-10.976,-17.5,-9.329,None,3
-0.446,0.644,-0.61,-10.915,-20.366,-9.146,None,3
-0.441,0.6459999999999999,-0.617,-10.854,-23.415,-8.78,None,3
-0.444,0.653,-0.613,-11.037,-26.341,-8.537,None,3
-0.445,0.6559999999999999,-0.619,-11.22,-29.39,-8.171,None,3
-0.451,0.6579999999999999,-0.613,-11.159,-32.256,-7.987999999999999,None,3
-0.46,0.653,-0.603,-11.28,-33.537,-7.927,None,3
-0.461,0.649,-0.601,-10.976,-33.232,-7.927,None,3
-0.466,0.636,-0.5920000000000001,-11.037,-32.012,-8.171,None,3
-0.5870000000000001,0.6,-0.521,-10.976,-23.354,-9.573,None,3
-0.551,0.623,-0.539,-13.232,2.5610000000000004,-14.939,None,3
-0.517,0.643,-0.5660000000000001,-12.439,11.098,-13.902,None,3
-0.495,0.6509999999999999,-0.574,-10.854,5.854,-10.366,None,3
-0.451,0.65,-0.574,-10.122,0.4270000000000001,-9.268,None,3
-0.436,0.665,-0.578,-10.61,-4.024,-10.366,None,3
-0.438,0.667,-0.57,-10.854,-9.939,-11.463,None,3
-0.459,0.6759999999999999,-0.5670000000000001,-10.305,-17.622,-9.939,None,3
-0.473,0.687,-0.5579999999999999,-9.451,-24.024,-7.805,None,3
-0.469,0.688,-0.55,-8.902000000000003,-25.183000000000003,-7.377999999999999,None,3
-0.47,0.688,-0.5429999999999999,-8.232000000000001,-22.683000000000003,-8.476,None,3
-0.471,0.6859999999999999,-0.545,-7.744,-19.634,-9.878,None,3
-0.478,0.675,-0.555,-7.134,-18.537,-10.488,None,3
-0.482,0.67,-0.557,-6.829,-18.659,-9.756,None,3
-0.481,0.6629999999999999,-0.5489999999999999,-6.524,-18.354,-9.268,None,3
-0.482,0.659,-0.5429999999999999,-6.037000000000001,-17.744,-9.756,None,3
-0.49,0.649,-0.545,-5.305,-17.073,-10.366,None,3
-0.498,0.65,-0.555,-5.0,-17.073,-10.61,None,3
-0.503,0.653,-0.5589999999999999,-4.329,-17.378,-10.305,None,3
-0.51,0.66,-0.562,-4.207,-17.561,-9.756,None,3
-0.515,0.659,-0.564,-4.085,-17.439,-9.695,None,3
-0.511,0.6559999999999999,-0.5670000000000001,-3.4760000000000004,-17.5,-9.695,None,3
-0.516,0.6509999999999999,-0.574,-3.1710000000000003,-17.439,-9.695,None,3
-0.521,0.6459999999999999,-0.585,-3.1710000000000003,-17.805,-9.39,None,3
