,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
1,0.413,-0.023,-0.963,-5.244,-4.146,11.037,None,3,n,-5.2564728046745903e-05,1.895330731226378e-06,3.1252952810678804e-05,0.006118324911767601
2,0.434,0.001,-0.919,-4.6339999999999995,-4.024,10.305,None,3,n,-0.00015898269363694847,5.674089390950062e-06,9.245037324615249e-05,0.012281769695496698
3,0.445,-0.008,-0.875,-3.659,-5.671,9.451,None,3,n,-0.00031992326323570847,1.1323632054306764e-05,0.0001829006476586651,0.01847025620189856
4,0.445,-0.018000000000000002,-0.897,-3.537,-4.756,8.171,None,3,n,-0.0005353795069424559,1.8832985710111955e-05,0.0003025887391437853,0.024658268914889342
5,0.47200000000000003,-0.017,-0.883,-3.1710000000000003,-3.2319999999999998,6.829,None,3,n,-0.000807007798257403,2.8190474404476473e-05,0.00044984025020967434,0.030911567211730072
6,0.461,-0.023,-0.867,-3.2319999999999998,-2.988,6.098,None,3,n,-0.0011341268219391995,3.9388809816033895e-05,0.0006253225837617584,0.037138431275352275
7,0.474,-0.033,-0.887,-3.537,-2.7439999999999998,5.5489999999999995,None,3,n,-0.0015175305589025484,5.241725908495576e-05,0.000828221420400824,0.04339770776403979
8,0.47700000000000004,-0.037000000000000005,-0.902,-3.659,-2.439,4.878,None,3,n,-0.001957399221349067,6.726804593528683e-05,0.0010583387647020376,0.04966477405775713
9,0.467,-0.032,-0.899,-4.024,-2.3169999999999997,4.085,None,3,n,-0.002453115620844931,8.393825260459224e-05,0.0013162786018638608,0.05590577824470458
10,0.469,-0.033,-0.902,-4.4510000000000005,-1.585,3.537,None,3,n,-0.0030048002112628906,0.00010242262162800481,0.0016019045628170583,0.062151407769515804
11,0.466,-0.027999999999999997,-0.9209999999999999,-4.4510000000000005,-0.6709999999999999,2.439,None,3,n,-0.0036122685292706057,0.00012271947320155452,0.0019153877214583268,0.06838869865106573
12,0.45899999999999996,-0.022000000000000002,-0.948,-4.512,0.0,1.646,None,3,n,-0.004275091425854089,0.00014482926552313093,0.002257144953857173,0.07460703995259033
13,0.45,-0.011000000000000001,-0.9440000000000001,-4.512,-0.122,1.0979999999999999,None,3,n,-0.004992717758065821,0.0001687546638608608,0.0026277200262843927,0.08080135281501921
14,0.449,-0.017,-0.9309999999999999,-4.573,-0.6709999999999999,0.488,None,3,n,-0.005765084027766869,0.0001944940824982993,0.003027164170729373,0.0869924017817124
15,0.44299999999999995,-0.016,-0.951,-4.512,-1.463,-0.244,None,3,n,-0.006591819945542564,0.00022204929841618056,0.0034558309387998183,0.09316688068797102
16,0.45399999999999996,-0.011000000000000001,-0.946,-4.329,-2.6830000000000003,-0.61,None,3,n,-0.00747359929025443,0.0002514199001311615,0.003913028655655251,0.09936937140303385
17,0.4370000000000001,-0.008,-0.9259999999999999,-4.207,-3.659,-1.159,None,3,n,-0.008409373695675371,0.000282611321838543,0.004399794383494737,0.10552665617881331
18,0.445,-0.012,-0.924,-3.963,-4.207,-1.768,None,3,n,-0.009399628872258092,0.0003156233922931709,0.004915620238660644,0.1117036894825868
19,0.45899999999999996,-0.015,-0.9179999999999999,-3.841,-4.6339999999999995,-2.012,None,3,n,-0.010445218553325218,0.00035045541862215523,0.005459628643360789,0.11791591052935282
20,0.456,-0.019,-0.9159999999999999,-3.78,-5.122000000000001,-2.256,None,3,n,-0.0115459514976968,0.00038711011675648477,0.006031989527705763,0.1241190381709595
21,0.457,-0.025,-0.9159999999999999,-3.841,-5.915,-2.5,None,3,n,-0.01270188082296634,0.0004255894764977149,0.006632624465207291,0.13032327475518923
22,0.452,-0.025,-0.924,-3.963,-6.402,-2.6830000000000003,None,3,n,-0.013912691881253226,0.0004658978370722483,0.007261822632464919,0.13651294870752645
23,0.442,-0.021,-0.929,-3.841,-6.402,-2.805,None,3,n,-0.0151777640721085,0.0005080410526623836,0.00792018307447195,0.14267523156789796
24,0.4370000000000001,-0.02,-0.9390000000000001,-3.5980000000000003,-5.4270000000000005,-2.866,None,3,n,-0.016496784450756863,0.0005520236141673178,0.008607996635023265,0.14882327503063772
25,0.43,-0.023,-0.95,-3.3539999999999996,-4.024,-3.1710000000000003,None,3,n,-0.017869318629370894,0.0005978499872294355,0.009325679661379748,0.15495222019228774
26,0.431,-0.02,-0.95,-3.1710000000000003,-2.988,-3.415,None,3,n,-0.01929542499415446,0.0006455245800842715,0.010073158818073682,0.16108312513022408
27,0.43,-0.019,-0.953,-2.7439999999999998,-1.524,-3.5980000000000003,None,3,n,-0.02077504070821863,0.0006950519739004688,0.010850486277975151,0.167211052384725
28,0.42100000000000004,-0.011000000000000001,-0.956,-2.439,-0.732,-3.72,None,3,n,-0.022307614156455616,0.0007464385749398859,0.011658210273186339,0.17331589683140172
29,0.408,-0.012,-0.951,-2.073,-0.366,-3.78,None,3,n,-0.02389234782102521,0.0007996899795577852,0.012497129970884419,0.17938792486953506
30,0.4,-0.004,-0.946,-1.89,0.0,-3.841,None,3,n,-0.025528752038637033,0.0008548119848235184,0.013367736467144726,0.1854403642741494
31,0.385,-0.001,-0.943,-1.341,0.0,-3.9019999999999997,None,3,n,-0.02721590737370102,0.0009118102840592299,0.014270954289121828,0.1914561141538106
32,0.3670000000000001,-0.006,-0.94,-0.976,0.122,-3.963,None,3,n,-0.02895270992511533,0.0009706898822185832,0.015207894430071908,0.19742863868755794
33,0.34700000000000003,-0.009000000000000001,-0.9440000000000001,-0.244,0.488,-3.963,None,3,n,-0.030737933732328505,0.001031455758864673,0.0161797914980219,0.20335438142058948
34,0.335,-0.011000000000000001,-0.943,0.488,0.488,-4.207,None,3,n,-0.03257084343190731,0.0010941123885621958,0.017187389070345387,0.20925431149219606
35,0.319,-0.011000000000000001,-0.95,0.8540000000000001,0.488,-4.268,None,3,n,-0.034450458484621985,0.0011586643161259572,0.01823167634924511,0.21511986469444364
36,0.304,-0.006999999999999999,-0.9440000000000001,1.524,0.244,-4.329,None,3,n,-0.036375859556453845,0.0012251158536473433,0.019313586192867355,0.22095506339473056
37,0.298,-0.012,-0.9259999999999999,2.195,-0.488,-4.207,None,3,n,-0.03834667832812039,0.001293470471671852,0.02043349990151134,0.22678195914506113
38,0.289,-0.012,-0.922,3.049,-1.22,-4.39,None,3,n,-0.04036236211382764,0.001363731814344265,0.021591981451767786,0.23259400857549697
39,0.289,-0.012,-0.9129999999999999,3.72,-1.89,-4.573,None,3,n,-0.042422909558307347,0.0014359035216375037,0.0227890411083678,0.23841175197009082
40,0.287,-0.01,-0.905,4.39,-1.9509999999999998,-4.939,None,3,n,-0.04452819663210241,0.0015099894483442007,0.024024813893102757,0.24423056244287214
41,0.298,-0.005,-0.8959999999999999,5.122000000000001,-2.012,-5.183,None,3,n,-0.04667889599740116,0.0015859938794854662,0.025298633017263473,0.25007797972886614
42,0.303,-0.008,-0.889,5.4270000000000005,-2.256,-5.4879999999999995,None,3,n,-0.048875312505680016,0.0016639216212831665,0.02661020230961796,0.25594007539712926
43,0.3,-0.004,-0.88,5.854,-2.5,-5.5489999999999995,None,3,n,-0.05111726012944961,0.0017437768165535692,0.02795972122661253,0.2617996811927776
44,0.301,-0.006,-0.884,6.22,-2.805,-5.671,None,3,n,-0.05340479809179065,0.00182556429082219,0.029347139573070186,0.2676648798065583
45,0.294,-0.004,-0.89,6.7070000000000025,-3.2319999999999998,-5.671,None,3,n,-0.05573749480719721,0.0019092878365166057,0.03077290248216109,0.27351934979287235
46,0.28800000000000003,-0.003,-0.8909999999999999,6.7070000000000025,-3.5980000000000003,-6.098,None,3,n,-0.058114979849808304,0.0019949515291801893,0.032237394139643806,0.279365517036672
47,0.287,-0.003,-0.8859999999999999,7.1339999999999995,-3.963,-6.402,None,3,n,-0.0605371889849448,0.0020825602218229973,0.033740691207520546,0.2852135068970624
48,0.28300000000000003,-0.006,-0.8859999999999999,7.317,-4.4510000000000005,-6.646,None,3,n,-0.06300387436479168,0.002172118929592831,0.0352830552191915,0.29105745600801053
49,0.285,-0.004,-0.8859999999999999,7.195,-5.183,-6.9510000000000005,None,3,n,-0.0655151543073673,0.00226363303216149,0.036864375616516905,0.2969086724895205
50,0.289,-0.005,-0.884,6.9510000000000005,-6.22,-7.317,None,3,n,-0.06807126916310938,0.0023571091155516043,0.03848441677788574,0.30277044602207404
51,0.295,0.0,-0.888,7.0729999999999995,-7.0120000000000005,-7.805,None,3,n,-0.07067257971172092,0.0024525535307778406,0.040142818247652846,0.3086457782254804
52,0.293,0.002,-0.8959999999999999,7.195,-7.0120000000000005,-8.293,None,3,n,-0.0733189576633717,0.0025499719345359762,0.04183971514601556,0.31451972421530494
53,0.293,0.006,-0.9079999999999999,6.9510000000000005,-6.585,-8.78,None,3,n,-0.07601039685137925,0.002649370183348147,0.04357511864998505,0.32039585259798986
54,0.289,-0.002,-0.9159999999999999,6.646,-7.0120000000000005,-9.267999999999999,None,3,n,-0.07874664938384544,0.0027507565390601217,0.04534928730032153,0.32626724497547954
55,0.285,-0.006999999999999999,-0.917,6.28,-7.0120000000000005,-9.634,None,3,n,-0.08152746703324136,0.002854138852297538,0.04716247917240266,0.3321340010728086
56,0.285,-0.009000000000000001,-0.927,5.854,-6.402,-10.305,None,3,n,-0.08435284585236517,0.0029595258803146573,0.049014703993802713,0.3380030870604322
