,0
0,0
1,398
2,797
3,1196
4,1596
5,1994
6,2394
7,2793
8,3192
9,3591
10,3989
11,4388
12,4787
13,5187
14,5586
15,5984
16,6383
17,6782
18,7181
19,7681
20,7980
21,8379
22,8877
23,9176
24,9676
25,10074
26,10473
27,10873
28,11271
29,11570
30,12069
31,12369
32,12767
33,13167
34,13666
35,13964
36,14363
37,14763
38,15161
39,15560
40,16059
41,16459
42,16857
43,17257
44,17656
45,17954
46,18353
47,18752
48,19151
49,19651
50,19950
51,20348
52,20848
53,21147
54,21545
55,21944
56,22343
57,22742
58,23142
59,23540
60,23939
61,24338
62,24737
63,25136
64,25535
65,25935
66,26333
67,26732
68,27131
69,27531
70,28029
71,28328
72,28827
73,29326
74,29725
75,30124
76,30523
77,30922
78,31321
79,31820
80,32318
81,32718
82,33116
83,33515
84,33915
85,34413
86,34712
87,35113
88,35611
89,36009
90,36409
91,36808
92,37306
93,37705
94,38104
95,38503
96,39002
97,39401
98,39900
99,40299
100,40697
101,40997
102,41495
103,41895
104,42293
105,42794
106,43191
107,43591
108,43989
109,44488
110,44887
111,45286
112,45785
113,46184
114,46583
115,47083
116,47480
117,47979
118,48478
119,48778
120,49276
121,49675
122,50074
123,50573
124,50972
125,51371
126,51869
127,52269
128,52667
129,53067
130,53565
131,53965
132,54363
133,54763
134,55261
135,55760
136,56059
137,56558
138,56957
139,57356
140,57755
141,58156
142,58553
143,58952
144,59351
145,59750
146,60149
147,60548
148,60947
149,61246
150,61745
151,62144
152,62543
153,63043
154,63540
155,63939
156,64440
157,64839
158,65236
159,65735
160,66134
161,66533
162,66932
163,67331
164,67730
165,68129
166,68528
167,68927
168,69326
169,69725
170,70124
171,70624
172,71121
173,71520
174,71919
175,72420
176,72817
177,73216
178,73615
179,74016
180,74513
181,74912
182,75313
183,75710
184,76109
185,76508
186,76907
187,77306
188,77705
189,78104
190,78503
191,78902
192,79401
193,79800
194,80199
195,80697
196,81196
197,81495
198,81895
199,82293
200,82792
201,83291
202,83690
203,84089
204,84488
205,84887
206,85286
207,85785
208,86283
209,86782
210,87181
211,87580
212,87979
213,88378
214,88877
215,89276
216,89675
217,90074
218,90473
219,90972
220,91371
221,91869
222,92269
223,92668
224,93166
225,93565
226,93964
227,94365
228,94764
229,95161
230,95562
231,95959
232,96358
233,96759
234,97156
235,97555
236,97954
237,98353
238,98754
239,99153
240,99550
241,99951
242,100350
243,100747
244,101246
245,101647
246,102044
247,102443
248,102844
249,103241
250,103642
251,103939
252,104440
253,104837
254,105238
255,105637
256,106034
257,106435
258,106834
259,107131
260,107632
261,107929
262,108328
263,108727
264,109126
265,109627
266,109926
267,110223
268,110622
269,111021
270,111420
271,111820
272,112320
273,112717
274,113116
275,113515
276,113914
277,114315
278,114714
279,115111
280,115512
281,115911
282,116310
283,116709
284,117106
285,117507
286,117906
287,118303
288,118704
289,119101
290,119502
291,119899
292,120298
293,120697
294,121096
295,121495
296,121896
297,122293
298,122692
299,123091
