,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
1,-0.146,0.423,-0.34700000000000003,37.683,0.8540000000000001,-3.9019999999999997,None,2,n,1.816420895792484e-05,-2.635254060384943e-05,3.0505775644826854e-05,0.0044215350626645505
2,-0.147,0.424,-0.35100000000000003,39.329,0.122,-3.963,None,2,n,5.455875222296829e-05,-7.90637170182025e-05,9.161637140674799e-05,0.008852985831251005
3,-0.146,0.42,-0.35100000000000003,40.976000000000006,-1.7069999999999999,-3.78,None,2,n,0.00010912554969609735,-0.00015813915211941603,0.0001833095625551054,0.013280851300232576
4,-0.145,0.423,-0.36,42.073,-3.3539999999999996,-3.72,None,2,n,0.00018180599473101164,-0.0002635845494700793,0.0003055686426827709,0.017705496769810047
5,-0.141,0.42100000000000004,-0.359,42.927,-4.939,-3.841,None,2,n,0.00027235618580748194,-0.0003954054105128118,0.0004581901534714808,0.02210642487275158
6,-0.141,0.428,-0.3670000000000001,44.023999999999994,-5.4879999999999995,-4.146,None,2,n,0.0003807790143966777,-0.0005536083614393676,0.0006412238885267544,0.026511324299143643
7,-0.146,0.425,-0.374,45.67100000000001,-4.756,-4.817,None,2,n,0.0005073853144645531,-0.0007382008154750316,0.0008550301146904443,0.030954261685613597
8,-0.145,0.419,-0.38,46.82899999999999,-3.11,-5.3660000000000005,None,2,n,0.0006521177221457034,-0.0009491902392445669,0.001099600828227118,0.035394751121546386
9,-0.139,0.418,-0.38799999999999996,48.17100000000001,-1.524,-5.976,None,2,n,0.0008146130407770929,-0.0011865847680662762,0.0013746242811826246,0.03979934554325836
10,-0.126,0.41600000000000004,-0.385,49.32899999999999,-0.366,-6.462999999999999,None,2,n,0.0009940784895516885,-0.0014503920230067482,0.0016793473268792933,0.044120091754409146
11,-0.124,0.41700000000000004,-0.396,50.244,0.61,-7.0120000000000005,None,2,n,0.0011903989270326222,-0.0017406217956787286,0.0020137127073621046,0.04843296839791567
12,-0.113,0.418,-0.396,51.28,1.22,-7.561,None,2,n,0.0014029065956176153,-0.002057283148103167,0.0023770966899181465,0.05267654507510846
13,-0.122,0.414,-0.396,52.317,1.463,-8.049,None,2,n,0.0016321633700180492,-0.0024003881333702934,0.0027701085449868927,0.0569857892590972
14,-0.125,0.41700000000000004,-0.413,53.11,1.28,-8.658999999999999,None,2,n,0.0018783638738755525,-0.002769949956420875,0.0031930182237607228,0.06132236342124642
15,-0.1,0.41600000000000004,-0.41200000000000003,53.902,1.22,-9.085,None,2,n,0.002139980272447298,-0.003165975320435494,0.0036443433608505196,0.06549607685302117
16,-0.09300000000000001,0.41600000000000004,-0.41600000000000004,54.695,1.037,-9.451,None,2,n,0.002416592213883032,-0.003588474930207833,0.004123720964584672,0.06962923045420813
17,-0.095,0.409,-0.4270000000000001,55.793,1.22,-9.634,None,2,n,0.0027083310396402056,-0.004037459801118228,0.004631359776335617,0.07378320404783943
18,-0.092,0.406,-0.436,56.707,0.8540000000000001,-9.878,None,2,n,0.0030150214810553432,-0.004512940621749939,0.005167160498470218,0.07792454372557958
19,-0.096,0.409,-0.439,57.683,0.183,-10.0,None,2,n,0.0033369206578244166,-0.00501493228238845,0.0057314438400685955,0.08209935425815776
20,-0.1,0.40700000000000003,-0.445,58.659,0.183,-10.244000000000002,None,2,n,0.0036742841530709807,-0.005543448421719126,0.006324540417393703,0.08630799427009865
21,-0.09699999999999999,0.405,-0.447,59.756,0.183,-10.427,None,2,n,0.0040269369937179405,-0.006098500250704469,0.006946342006486459,0.09050324718343654
22,-0.095,0.4,-0.445,60.976000000000006,-0.061,-10.793,None,2,n,0.004394764641334567,-0.006680098316689155,0.007596792203796683,0.0946910211101991
23,-0.085,0.39399999999999996,-0.45399999999999996,61.707,-0.4270000000000001,-10.975999999999999,None,2,n,0.004777159423300191,-0.007288248604572238,0.008275377189689797,0.09882055074762398
24,-0.08199999999999999,0.387,-0.462,62.5,-0.915,-11.097999999999999,None,2,n,0.005173943317627065,-0.007922959077390728,0.008982014593268221,0.10293839241209889
25,-0.075,0.385,-0.467,63.72,-1.28,-10.975999999999999,None,2,n,0.0055846941427595866,-0.008584237414213726,0.009716369885489514,0.10701789449955827
26,-0.07,0.384,-0.48100000000000004,64.634,-1.341,-10.732000000000001,None,2,n,0.006009112498208742,-0.009272091691957468,0.010478267260778745,0.11107484226075459
27,-0.073,0.375,-0.493,65.732,-1.402,-10.61,None,2,n,0.006447386163515645,-0.009986529390981994,0.011268021556239308,0.11516149003410017
28,-0.07400000000000001,0.366,-0.5,66.585,-1.829,-10.488,None,2,n,0.0068995791698271865,-0.010727556337145028,0.01208581000666853,0.1192634646298777
29,-0.075,0.36,-0.504,67.378,-1.9509999999999998,-10.427,None,2,n,0.007365756782666481,-0.01149517968976591,0.012931800829650824,0.12338021116742051
30,-0.078,0.355,-0.503,68.293,-1.402,-10.244000000000002,None,2,n,0.00784610765418438,-0.012289408189837368,0.013806265854463035,0.12752352526940205
31,-0.086,0.348,-0.505,69.329,-0.732,-10.122,None,2,n,0.008341126034021762,-0.013110252133306428,0.014709798611463444,0.13172696834283493
32,-0.09699999999999999,0.344,-0.514,70.305,0.6709999999999999,-9.878,None,2,n,0.00885149208027328,-0.013957725345217713,0.015643211585607268,0.13601265111649197
33,-0.099,0.341,-0.517,71.34100000000002,1.9509999999999998,-9.634,None,2,n,0.009377333616240139,-0.014831836079411964,0.016606738879533935,0.14031976848339092
34,-0.106,0.34299999999999997,-0.523,72.439,3.049,-9.695,None,2,n,0.009919089748430018,-0.01573259985172804,0.017600939160306427,0.14468273147029423
35,-0.111,0.341,-0.531,73.354,3.4760000000000004,-9.634,None,2,n,0.010477073512805702,-0.01666002758972517,0.018626262039119774,0.14908907056962364
36,-0.11800000000000001,0.32799999999999996,-0.5429999999999999,74.207,3.78,-9.512,None,2,n,0.011051711680498875,-0.017614122515585643,0.019683305805380864,0.15355284676989547
37,-0.11699999999999999,0.32299999999999995,-0.544,75.122,4.146,-9.634,None,2,n,0.011642945898437033,-0.01859488828040926,0.02077212074945426,0.15801827009395308
38,-0.124,0.312,-0.544,75.793,5.3660000000000005,-9.817,None,2,n,0.012251205397246261,-0.019602330130260474,0.021893242416271528,0.16253714930840946
39,-0.135,0.306,-0.547,76.768,6.585,-10.122,None,2,n,0.012877170157905057,-0.020636461025938836,0.0230474700825453,0.16713767069619453
40,-0.136,0.293,-0.546,77.622,7.439,-10.488,None,2,n,0.013520899024266876,-0.0216972792489214,0.024234966786574733,0.17175187270245765
41,-0.139,0.28300000000000003,-0.55,78.354,7.317,-10.671,None,2,n,0.014182575688576466,-0.022784786692475648,0.025456051088220813,0.17639544550821756
42,-0.14,0.276,-0.5539999999999999,79.207,6.768,-10.793,None,2,n,0.014862262743327647,-0.023898985744187747,0.026710922029998228,0.18105565718170236
43,-0.147,0.278,-0.563,79.878,6.462999999999999,-11.037,None,2,n,0.015560400534160928,-0.025039892951214875,0.028000182554183177,0.18577562620692914
44,-0.15,0.27399999999999997,-0.556,80.732,5.7929999999999975,-11.524000000000001,None,2,n,0.016277178460044468,-0.02620751721097844,0.029324081025766318,0.19052097443805227
45,-0.15,0.272,-0.555,81.95100000000002,4.6339999999999995,-12.134,None,2,n,0.017012601836129647,-0.027401866018481973,0.030682726055831364,0.19527500950705615
46,-0.152,0.27,-0.564,82.62200000000001,3.72,-12.561,None,2,n,0.01776679755877577,-0.02862294783940159,0.03207642521925095,0.2000562260854314
47,-0.14400000000000002,0.26899999999999996,-0.575,83.23200000000001,2.622,-13.049000000000001,None,2,n,0.01853927589855546,-0.029870760714540145,0.03350489754409474,0.20479972997137869
48,-0.134,0.268,-0.5770000000000001,83.963,1.829,-13.475999999999999,None,2,n,0.01932942428077789,-0.0311453010800246,0.03496767425153441,0.20948754867547617
49,-0.125,0.266,-0.581,84.695,1.037,-13.963,None,2,n,0.020136689779031318,-0.03244656443621388,0.03646436680912464,0.21412735740155542
50,-0.115,0.255,-0.5820000000000001,85.366,-0.061,-14.39,None,2,n,0.020960446295039955,-0.03377453363591636,0.03799450386308824,0.2187097710880225
51,-0.11599999999999999,0.252,-0.583,85.671,-1.28,-14.695,None,2,n,0.0218007548619472,-0.03512921435628395,0.03955828457098411,0.22330894393509407
52,-0.111,0.25,-0.5870000000000001,86.463,-1.768,-15.244000000000002,None,2,n,0.022657306769735784,-0.036510605025479356,0.04115557202352474,0.2278870017732497
53,-0.105,0.247,-0.594,86.89,-2.134,-15.732000000000001,None,2,n,0.02352972931228096,-0.0379187001932968,0.0427861989594702,0.23243918126259866
54,-0.102,0.24,-0.595,87.561,-2.134,-15.793,None,2,n,0.024417829785988783,-0.03935349326458914,0.04445012798022984,0.236981294514033
55,-0.086,0.235,-0.604,88.11,-1.7069999999999999,-15.975999999999999,None,2,n,0.02532061469044669,-0.04081495872684768,0.04614661159596458,0.24143236194735898
56,-0.083,0.237,-0.607,88.598,-0.976,-15.975999999999999,None,2,n,0.026237903263717253,-0.04230310021513802,0.04787563686504151,0.2458762248963956
57,-0.075,0.237,-0.607,89.024,-0.4270000000000001,-15.793,None,2,n,0.027169204252332702,-0.04381791084331267,0.049636859352536325,0.2502773945262419
58,-0.076,0.233,-0.611,89.45100000000002,-0.061,-15.61,None,2,n,0.028114573832590247,-0.045359389695751914,0.05143052236660417,0.2546980114533421
59,-0.075,0.23,-0.622,89.695,0.061,-15.183,None,2,n,0.029073943930584475,-0.046927531440396686,0.053256824644293564,0.2591300740114214
60,-0.075,0.22699999999999998,-0.628,90.18299999999999,1.22,-14.573,None,2,n,0.030047309133590452,-0.0485223327493438,0.05511597673292623,0.26357688673534124
61,-0.083,0.223,-0.634,90.671,3.537,-14.573,None,2,n,0.031035156152077997,-0.05014380170817119,0.05700867559948981,0.26809163201910213
62,-0.09,0.21600000000000005,-0.648,91.098,6.037000000000001,-14.39,None,2,n,0.03203790336764814,-0.051791936830178464,0.05893565063191763,0.27267350685990405
63,-0.09,0.207,-0.6579999999999999,91.28,8.537,-13.963,None,2,n,0.03305553571150079,-0.053466721231281836,0.060897168094815136,0.2772729545896263
64,-0.10300000000000001,0.20199999999999999,-0.659,91.70700000000001,10.915,-13.232000000000001,None,2,n,0.034088850697444925,-0.05516817059574589,0.06289417528397957,0.28196998977881155
65,-0.107,0.196,-0.665,92.134,13.475999999999999,-12.683,None,2,n,0.03513808855072205,-0.05689628041586985,0.06492713688395942,0.2867088504066636
