aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.643,0.14400000000000002,-0.613,-26.646,0.976,33.598,4beats_3,4,f
-0.6459999999999999,0.146,-0.602,-25.549,1.341,33.902,None,4,f
-0.6409999999999999,0.147,-0.596,-24.268,1.28,34.268,None,4,f
-0.637,0.157,-0.598,-23.415,1.341,34.756,None,4,f
-0.632,0.154,-0.601,-22.683000000000003,1.159,35.244,None,4,f
-0.636,0.158,-0.595,-21.951,1.768,35.61,None,4,f
-0.63,0.16399999999999998,-0.579,-21.463,2.195,35.915,None,4,f
-0.629,0.163,-0.5760000000000001,-20.488000000000003,1.22,36.28,None,4,f
-0.625,0.16699999999999998,-0.578,-19.573,0.305,36.646,None,4,f
-0.626,0.16699999999999998,-0.5760000000000001,-18.537,0.0,37.134,None,4,f
-0.614,0.162,-0.578,-18.11,-0.915,37.317,None,4,f
-0.613,0.17,-0.585,-17.561,-2.073,37.439,None,4,f
-0.606,0.168,-0.5820000000000001,-16.768,-2.805,37.5,None,4,f
-0.5920000000000001,0.173,-0.583,-16.402,-3.963,37.744,None,4,f
-0.588,0.174,-0.589,-15.549,-4.695,37.988,None,4,f
-0.581,0.174,-0.583,-15.0,-5.976,38.232,None,4,f
-0.574,0.16899999999999998,-0.591,-15.0,-5.488,38.11,None,4,f
-0.564,0.173,-0.589,-13.841,-7.195,38.841,None,4,f
-0.561,0.16899999999999998,-0.586,-12.988,-10.061,39.756,None,4,f
-0.552,0.17,-0.588,-12.866,-8.902000000000003,39.817,None,4,f
-0.542,0.168,-0.598,-12.5,-7.744,39.878,None,4,f
-0.535,0.16699999999999998,-0.602,-11.768,-7.744,39.939,None,4,f
-0.528,0.174,-0.59,-10.854,-7.195,40.122,None,4,f
-0.519,0.177,-0.594,-10.366,-6.462999999999999,40.366,None,4,f
-0.509,0.185,-0.596,-9.817,-6.341,40.793,None,4,f
-0.508,0.189,-0.6,-9.024,-6.28,40.732,None,4,f
-0.5,0.189,-0.597,-8.354,-5.915,41.098,None,4,f
-0.511,0.19,-0.604,-7.622000000000001,-5.854,41.402,None,4,f
-0.505,0.192,-0.594,-6.829,-6.098,41.951,None,4,f
-0.513,0.188,-0.598,-5.915,-6.28,42.378,None,4,f
-0.505,0.19,-0.625,-5.3660000000000005,-6.098,42.744,None,4,f
-0.501,0.199,-0.597,-4.756,-5.854,43.049,None,4,f
-0.521,0.188,-0.58,-3.902,-5.61,43.232,None,4,f
-0.52,0.18600000000000005,-0.602,-2.988,-5.305,43.537,None,4,f
-0.514,0.195,-0.609,-1.951,-4.634,43.902,None,4,f
-0.518,0.197,-0.601,-0.976,-4.4510000000000005,44.085,None,4,f
-0.516,0.193,-0.588,0.0,-4.573,44.39,None,4,f
-0.506,0.194,-0.581,1.037,-4.573,44.878,None,4,f
-0.505,0.193,-0.569,1.646,-4.39,45.244,None,4,f
-0.507,0.199,-0.569,2.927,-4.146,45.36600000000001,None,4,f
-0.513,0.198,-0.56,4.024,-3.963,45.549,None,4,f
-0.514,0.2,-0.555,4.817,-3.841,45.915,None,4,f
-0.514,0.203,-0.547,5.792999999999998,-3.841,46.463,None,4,f
-0.514,0.202,-0.542,6.829,-3.72,46.585,None,4,f
-0.513,0.195,-0.542,7.805,-3.11,46.768,None,4,f
-0.517,0.19,-0.54,8.597999999999999,-2.439,46.89,None,4,f
-0.511,0.191,-0.536,9.329,-2.073,47.073,None,4,f
-0.512,0.198,-0.54,10.366,-1.89,47.5,None,4,f
-0.51,0.201,-0.539,11.159,-1.463,47.56100000000001,None,4,f
-0.505,0.197,-0.539,12.255999999999998,-0.976,47.56100000000001,None,4,f
-0.508,0.196,-0.54,12.988,-0.6709999999999999,47.805,None,4,f
-0.507,0.196,-0.5329999999999999,14.207,-0.488,47.927,None,4,f
-0.502,0.191,-0.532,15.0,0.061,47.805,None,4,f
-0.495,0.191,-0.532,15.793,0.305,47.622,None,4,f
-0.488,0.193,-0.53,17.073,0.6709999999999999,47.5,None,4,f
-0.48,0.19,-0.5329999999999999,18.11,1.524,47.073,None,4,f
-0.477,0.196,-0.528,19.268,2.256,46.89,None,4,f
-0.471,0.193,-0.527,20.366,2.805,46.402,None,4,f
-0.469,0.19,-0.522,21.28,3.293,45.793,None,4,f
-0.462,0.18600000000000005,-0.519,22.195,3.659,45.36600000000001,None,4,f
-0.45,0.183,-0.521,23.11,3.78,45.183,None,4,f
-0.44,0.184,-0.519,24.268,4.024,44.573,None,4,f
-0.434,0.18600000000000005,-0.512,25.244,4.268,43.963,None,4,f
-0.424,0.183,-0.513,26.098000000000006,4.268,43.537,None,4,f
-0.418,0.17800000000000002,-0.51,27.073,4.634,42.86600000000001,None,4,f
-0.413,0.177,-0.503,28.232,5.061,42.13399999999999,None,4,f
-0.404,0.175,-0.502,29.39,5.244,41.463,None,4,f
-0.393,0.17,-0.498,30.488000000000003,5.0,40.915,None,4,f
-0.387,0.16899999999999998,-0.501,31.768,4.756,40.549,None,4,f
-0.375,0.166,-0.498,33.232,4.512,40.061,None,4,f
-0.369,0.168,-0.493,34.817,3.963,39.512,None,4,f
-0.3670000000000001,0.163,-0.495,36.341,3.354,39.146,None,4,f
-0.359,0.156,-0.495,38.11,3.049,38.659,None,4,f
-0.35200000000000004,0.157,-0.4920000000000001,39.39,2.927,38.11,None,4,f
-0.348,0.157,-0.486,40.976000000000006,2.5610000000000004,37.866,None,4,f
-0.341,0.152,-0.481,42.86600000000001,2.622,37.622,None,4,f
-0.343,0.151,-0.478,44.146,2.6830000000000003,37.317,None,4,f
-0.343,0.151,-0.472,45.549,2.378,37.439,None,4,f
-0.341,0.155,-0.463,47.195,1.829,37.256,None,4,f
-0.34,0.156,-0.458,48.841,1.037,37.195,None,4,f
-0.339,0.156,-0.459,50.244,0.6709999999999999,37.378,None,4,f
-0.344,0.156,-0.448,51.585,0.183,37.378,None,4,f
-0.345,0.153,-0.442,53.11,-0.5489999999999999,37.317,None,4,f
-0.348,0.153,-0.439,54.695,-1.646,37.5,None,4,f
-0.353,0.151,-0.439,56.159,-3.11,37.622,None,4,f
-0.355,0.156,-0.439,57.927,-4.4510000000000005,37.622,None,4,f
-0.3670000000000001,0.158,-0.438,59.146,-5.61,37.683,None,4,f
-0.376,0.159,-0.436,61.037,-6.462999999999999,37.683,None,4,f
-0.38,0.158,-0.434,62.378,-7.317,37.622,None,4,f
-0.386,0.156,-0.4320000000000001,63.72,-8.11,37.683,None,4,f
-0.389,0.152,-0.438,65.061,-8.902000000000003,38.293,None,4,f
-0.397,0.146,-0.439,66.15899999999999,-9.329,38.415,None,4,f
-0.397,0.142,-0.44,67.07300000000001,-9.695,38.72,None,4,f
-0.399,0.14,-0.4370000000000001,67.988,-9.695,39.085,None,4,f
