aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
0.441,-0.031,-0.921,-5.488,-4.024,12.012,3beats_3,3,f
0.413,-0.023,-0.963,-5.244,-4.146,11.037,None,3,f
0.434,0.001,-0.919,-4.634,-4.024,10.305,None,3,f
0.445,-0.008,-0.875,-3.659,-5.671,9.451,None,3,f
0.445,-0.018000000000000002,-0.897,-3.537,-4.756,8.171,None,3,f
0.472,-0.017,-0.883,-3.1710000000000003,-3.232,6.829,None,3,f
0.461,-0.023,-0.867,-3.232,-2.988,6.098,None,3,f
0.474,-0.033,-0.887,-3.537,-2.744,5.549,None,3,f
0.477,-0.037000000000000005,-0.902,-3.659,-2.439,4.878,None,3,f
0.467,-0.032,-0.899,-4.024,-2.317,4.085,None,3,f
0.469,-0.033,-0.902,-4.4510000000000005,-1.585,3.537,None,3,f
0.466,-0.028,-0.921,-4.4510000000000005,-0.6709999999999999,2.439,None,3,f
0.459,-0.022,-0.948,-4.512,0.0,1.646,None,3,f
0.45,-0.011,-0.944,-4.512,-0.122,1.098,None,3,f
0.449,-0.017,-0.931,-4.573,-0.6709999999999999,0.488,None,3,f
0.443,-0.016,-0.951,-4.512,-1.463,-0.244,None,3,f
0.454,-0.011,-0.946,-4.329,-2.6830000000000003,-0.61,None,3,f
0.4370000000000001,-0.008,-0.926,-4.207,-3.659,-1.159,None,3,f
0.445,-0.012,-0.924,-3.963,-4.207,-1.768,None,3,f
0.459,-0.015,-0.918,-3.841,-4.634,-2.012,None,3,f
0.456,-0.019,-0.916,-3.78,-5.122000000000001,-2.256,None,3,f
0.457,-0.025,-0.916,-3.841,-5.915,-2.5,None,3,f
0.452,-0.025,-0.924,-3.963,-6.402,-2.6830000000000003,None,3,f
0.442,-0.021,-0.929,-3.841,-6.402,-2.805,None,3,f
0.4370000000000001,-0.02,-0.939,-3.5980000000000003,-5.4270000000000005,-2.866,None,3,f
0.43,-0.023,-0.95,-3.354,-4.024,-3.1710000000000003,None,3,f
0.431,-0.02,-0.95,-3.1710000000000003,-2.988,-3.415,None,3,f
0.43,-0.019,-0.953,-2.744,-1.524,-3.5980000000000003,None,3,f
0.421,-0.011,-0.956,-2.439,-0.732,-3.72,None,3,f
0.408,-0.012,-0.951,-2.073,-0.366,-3.78,None,3,f
0.4,-0.004,-0.946,-1.89,0.0,-3.841,None,3,f
0.385,-0.001,-0.943,-1.341,0.0,-3.902,None,3,f
0.3670000000000001,-0.006,-0.94,-0.976,0.122,-3.963,None,3,f
0.34700000000000003,-0.009000000000000001,-0.944,-0.244,0.488,-3.963,None,3,f
0.335,-0.011,-0.943,0.488,0.488,-4.207,None,3,f
0.319,-0.011,-0.95,0.8540000000000001,0.488,-4.268,None,3,f
0.304,-0.006999999999999999,-0.944,1.524,0.244,-4.329,None,3,f
0.298,-0.012,-0.926,2.195,-0.488,-4.207,None,3,f
0.289,-0.012,-0.922,3.049,-1.22,-4.39,None,3,f
0.289,-0.012,-0.913,3.72,-1.89,-4.573,None,3,f
0.287,-0.01,-0.905,4.39,-1.951,-4.939,None,3,f
0.298,-0.005,-0.8959999999999999,5.122000000000001,-2.012,-5.183,None,3,f
0.303,-0.008,-0.889,5.4270000000000005,-2.256,-5.488,None,3,f
0.3,-0.004,-0.88,5.854,-2.5,-5.549,None,3,f
0.301,-0.006,-0.884,6.22,-2.805,-5.671,None,3,f
0.294,-0.004,-0.89,6.707000000000002,-3.232,-5.671,None,3,f
0.28800000000000003,-0.003,-0.8909999999999999,6.707000000000002,-3.5980000000000003,-6.098,None,3,f
0.287,-0.003,-0.8859999999999999,7.134,-3.963,-6.402,None,3,f
0.28300000000000003,-0.006,-0.8859999999999999,7.317,-4.4510000000000005,-6.646,None,3,f
0.285,-0.004,-0.8859999999999999,7.195,-5.183,-6.9510000000000005,None,3,f
0.289,-0.005,-0.884,6.9510000000000005,-6.22,-7.317,None,3,f
0.295,0.0,-0.888,7.073,-7.0120000000000005,-7.805,None,3,f
0.293,0.002,-0.8959999999999999,7.195,-7.0120000000000005,-8.293,None,3,f
0.293,0.006,-0.908,6.9510000000000005,-6.585,-8.78,None,3,f
0.289,-0.002,-0.916,6.646,-7.0120000000000005,-9.268,None,3,f
0.285,-0.006999999999999999,-0.917,6.28,-7.0120000000000005,-9.634,None,3,f
0.285,-0.009000000000000001,-0.927,5.854,-6.402,-10.305,None,3,f
0.28800000000000003,-0.004,-0.939,5.549,-6.037000000000001,-10.915,None,3,f
0.29,-0.006999999999999999,-0.953,5.488,-6.037000000000001,-11.829,None,3,f
0.29,-0.005,-0.969,4.878,-6.098,-12.378,None,3,f
0.302,0.0,-0.974,4.146,-5.854,-12.866,None,3,f
0.31,-0.003,-0.981,3.841,-5.549,-13.415,None,3,f
0.313,-0.012,-0.991,3.415,-5.488,-13.78,None,3,f
0.324,-0.012,-1.004,3.049,-5.671,-14.085,None,3,f
0.327,-0.009000000000000001,-1.005,2.988,-6.037000000000001,-14.39,None,3,f
0.341,-0.004,-1.003,2.6830000000000003,-6.402,-14.817,None,3,f
0.344,-0.006,-1.006,2.256,-6.9510000000000005,-15.122,None,3,f
0.35200000000000004,-0.002,-1.016,2.256,-7.377999999999999,-15.427,None,3,f
0.355,-0.004,-1.015,2.439,-6.829,-16.098,None,3,f
0.35,-0.013,-1.028,2.6830000000000003,-6.22,-16.340999999999998,None,3,f
0.349,-0.019,-1.03,2.5610000000000004,-5.792999999999998,-16.463,None,3,f
0.34700000000000003,-0.016,-1.046,2.439,-5.61,-16.340999999999998,None,3,f
0.35,-0.006,-1.042,2.622,-5.915,-16.402,None,3,f
0.345,-0.01,-1.036,2.927,-5.244,-16.340999999999998,None,3,f
0.344,-0.009000000000000001,-1.036,2.805,-4.207,-16.159000000000002,None,3,f
0.335,-0.01,-1.033,2.805,-2.378,-16.28,None,3,f
0.322,-0.011,-1.041,2.866,-0.122,-16.28,None,3,f
0.318,-0.009000000000000001,-1.042,3.293,1.585,-16.28,None,3,f
0.311,-0.008,-1.038,3.72,2.622,-16.159000000000002,None,3,f
0.301,-0.004,-1.037,4.024,3.963,-16.098,None,3,f
0.293,-0.003,-1.035,4.4510000000000005,4.878,-16.22,None,3,f
0.279,-0.002,-1.024,4.329,5.305,-16.159000000000002,None,3,f
0.278,-0.004,-1.006,4.024,5.792999999999998,-16.098,None,3,f
0.27,-0.006,-1.008,3.963,5.915,-16.037,None,3,f
0.258,-0.006999999999999999,-1.02,4.146,6.462999999999999,-15.976,None,3,f
0.25,-0.008,-1.017,3.72,7.683,-16.098,None,3,f
0.246,-0.012,-1.014,3.537,8.537,-16.159000000000002,None,3,f
0.236,-0.019,-1.021,3.293,8.415,-16.340999999999998,None,3,f
0.226,-0.018000000000000002,-1.026,2.5,8.415,-16.646,None,3,f
0.219,-0.02,-1.032,2.134,8.171,-16.829,None,3,f
0.215,-0.015,-1.039,1.89,7.377999999999999,-17.195,None,3,f
0.228,-0.01,-1.043,1.22,6.707000000000002,-17.439,None,3,f
0.232,-0.008,-1.039,0.305,6.462999999999999,-17.927,None,3,f
0.244,-0.006,-1.052,-0.366,5.488,-18.293,None,3,f
0.259,-0.01,-1.055,-1.037,4.146,-18.598,None,3,f
0.254,-0.012,-1.075,-1.463,2.744,-19.085,None,3,f
0.25,-0.013,-1.096,-2.378,1.646,-19.207,None,3,f
0.258,-0.013,-1.104,-3.293,0.6709999999999999,-19.695,None,3,f
0.268,-0.01,-1.107,-4.146,-0.366,-20.305,None,3,f
0.271,-0.006999999999999999,-1.127,-4.878,-1.159,-20.854,None,3,f
0.281,-0.01,-1.142,-5.3660000000000005,-2.012,-21.402,None,3,f
0.292,-0.009000000000000001,-1.151,-6.22,-3.4760000000000004,-21.89,None,3,f
0.3,-0.009000000000000001,-1.162,-7.195,-4.878,-22.195,None,3,f
0.309,-0.006,-1.173,-7.927,-5.732,-22.744,None,3,f
0.314,-0.009000000000000001,-1.1840000000000002,-8.841000000000003,-5.732,-23.476,None,3,f
0.319,-0.008,-1.193,-9.634,-5.61,-24.207,None,3,f
0.33,-0.014,-1.197,-10.305,-5.61,-24.756,None,3,f
