,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
1,-0.6459999999999999,0.146,-0.602,-25.549,1.341,33.902,None,4,n,7.933638858846844e-05,-8.791901595816525e-06,7.745699717279461e-05,0.011122565575872007
2,-0.6409999999999999,0.147,-0.596,-24.268,1.28,34.268,None,4,n,0.00023768959905652153,-2.63031722553132e-05,0.00023202241086318798,0.022197488816290033
3,-0.637,0.157,-0.598,-23.415,1.341,34.756,None,4,n,0.0004747986190748194,-5.2458093854709945e-05,0.0004634096602209727,0.033233240357098764
4,-0.632,0.154,-0.601,-22.683000000000003,1.159,35.244,None,4,n,0.0007903430626247778,-8.718386366948571e-05,0.0007712715983785583,0.04422139164597002
5,-0.636,0.158,-0.595,-21.951,1.768,35.61,None,4,n,0.0011845546637655271,-0.00013040083973688208,0.0011558175745928878,0.05524003089399886
6,-0.63,0.16399999999999998,-0.579,-21.463,2.195,35.915,None,4,n,0.0016570479355834645,-0.00018203163136813475,0.0016166460473734238,0.06620260658636715
7,-0.629,0.163,-0.5760000000000001,-20.488000000000003,1.22,36.28,None,4,n,0.002207746694273672,-0.00024199928129200346,0.0021536625403412585,0.07715257322862275
8,-0.625,0.16699999999999998,-0.578,-19.573,0.305,36.646,None,4,n,0.0028363844849684213,-0.0003102248275949369,0.002766588860375408,0.08806354926123032
9,-0.626,0.16699999999999998,-0.5760000000000001,-18.537,0.0,37.134,None,4,n,0.0035430045134400433,-0.0003866273545418321,0.0034554584930227322,0.09897932014035894
10,-0.614,0.162,-0.578,-18.11,-0.915,37.317,None,4,n,0.004326852466770166,-0.000471142576263442,0.0042195051117976164,0.10978741605046582
11,-0.613,0.17,-0.585,-17.561,-2.073,37.439,None,4,n,0.0051878364300092916,-0.0005636837755847357,0.005058638593079051,0.12058201598639307
12,-0.606,0.168,-0.5820000000000001,-16.768,-2.805,37.5,None,4,n,0.006125503881897882,-0.000664181376333779,0.005972408100588881,0.13131240348658285
13,-0.5920000000000001,0.17300000000000001,-0.583,-16.402,-3.963,37.744,None,4,n,0.007138960974246737,-0.0007725670455041955,0.006959931665406987,0.1419170716434346
14,-0.588,0.174,-0.589,-15.549000000000001,-4.695,37.988,None,4,n,0.008227932498668166,-0.0008887654759558468,0.008020941252742048,0.15248286463262273
15,-0.581,0.174,-0.583,-15.0,-5.976,38.232,None,4,n,0.009391958024285307,-0.001012707563419376,0.00915499598554155,0.16298457602847052
16,-0.574,0.16899999999999998,-0.591,-15.0,-5.4879999999999995,38.11,None,4,n,0.01063058561600443,-0.0011443334118822184,0.010361642709007114,0.17342202830671938
17,-0.564,0.17300000000000001,-0.589,-13.841,-7.195,38.841,None,4,n,0.011943162233591622,-0.0012835743334688476,0.011640255851340806,0.18376879438657057
18,-0.561,0.16899999999999998,-0.586,-12.988,-10.061,39.756,None,4,n,0.013329474024450656,-0.0014303630261781597,0.012990647614937725,0.19408671301695254
19,-0.552,0.17,-0.588,-12.866,-8.902000000000003,39.817,None,4,n,0.01478893162233483,-0.001584635239820452,0.01441225398231622,0.20432280978136078
20,-0.542,0.168,-0.598,-12.5,-7.744,39.878,None,4,n,0.016320891784887798,-0.001746335969917485,0.015904439727431854,0.21446835113110582
21,-0.535,0.16699999999999998,-0.602,-11.767999999999999,-7.744,39.939,None,4,n,0.017924894176221458,-0.0019154044109084482,0.01746676093332201,0.22454966843701396
22,-0.528,0.174,-0.59,-10.854000000000001,-7.195,40.122,None,4,n,0.019600462407985523,-0.002091763987582046,0.019098790546271952,0.23456666977912655
23,-0.519,0.177,-0.594,-10.366,-6.462999999999999,40.366,None,4,n,0.0213470057632472,-0.0022753509566941148,0.02079996108715855,0.24450151484636803
