,0
0,0
1,3
2,9
3,14
4,18
5,23
6,26
7,30
8,33
9,39
10,44
11,48
12,53
13,56
14,60
15,63
16,69
17,74
18,78
19,83
20,86
21,90
22,93
23,99
24,104
25,108
26,113
27,116
28,120
29,123
30,129
31,134
32,138
33,143
34,146
35,150
36,153
37,159
38,164
39,168
40,173
41,176
42,180
43,183
44,189
45,194
46,198
47,203
48,206
49,210
50,213
51,219
52,224
53,228
54,233
55,236
56,240
57,243
58,249
59,254
60,258
61,263
62,266
63,270
64,273
65,279
66,284
67,288
68,293
69,296
70,300
71,303
72,309
73,314
74,318
75,323
76,326
77,330
78,333
79,339
80,344
81,348
82,353
83,356
84,360
85,363
86,369
87,374
88,378
89,383
90,386
91,390
92,393
93,399
94,404
95,408
96,413
97,416
98,420
99,423
100,429
101,434
102,438
103,443
104,446
105,450
106,453
107,459
108,464
109,468
110,473
111,476
112,480
113,483
114,489
115,494
116,498
117,503
118,506
119,510
120,513
121,519
122,524
123,528
124,533
125,536
126,540
127,543
128,549
129,554
130,558
131,563
132,566
133,570
134,573
135,579
136,584
137,588
138,593
139,596
140,600
141,603
142,609
143,614
144,618
145,623
146,626
147,630
148,633
149,639
150,644
151,648
152,653
153,656
154,660
155,663
156,669
157,674
158,678
159,683
160,686
161,690
162,693
163,699
164,704
165,708
166,713
167,716
168,720
169,723
170,729
171,734
172,738
173,743
174,746
175,750
176,753
177,759
178,764
179,768
180,773
181,776
182,780
183,783
184,789
185,794
186,798
187,803
188,806
189,810
190,813
191,819
192,824
193,828
194,833
195,836
196,840
197,843
198,849
199,854
200,858
201,863
202,866
203,870
204,873
205,879
206,884
207,888
208,893
209,896
210,900
211,903
212,909
213,914
214,918
215,923
216,926
217,930
218,933
219,939
220,944
221,948
222,953
223,956
224,960
225,963
226,969
227,974
228,978
229,983
230,986
231,990
232,993
233,999
234,1004
235,1008
236,1013
237,1016
238,1020
239,1023
240,1029
241,1034
242,1038
243,1043
244,1046
245,1050
246,1053
247,1059
248,1064
249,1068
250,1073
251,1076
252,1080
253,1083
254,1089
255,1094
256,1098
257,1103
258,1106
259,1110
260,1113
261,1119
262,1124
263,1128
264,1133
265,1136
266,1140
267,1143
268,1149
269,1154
270,1158
271,1163
272,1166
273,1170
274,1173
275,1179
276,1184
277,1188
278,1193
279,1196
280,1200
281,1203
282,1209
283,1214
284,1218
285,1223
286,1226
287,1230
288,1233
289,1239
290,1244
291,1248
292,1253
293,1256
294,1260
295,1263
296,1269
297,1274
298,1278
299,1283
300,1286
301,1290
302,1293
303,1299
304,1304
305,1308
306,1313
307,1316
308,1320
309,1323
