aX,aY,aZ,gX,gY,gZ
-0.965,0.053,-0.279,0,2.988,-0.427
-0.976,0.055,-0.281,0.732,3.232,1.159
-0.972,0.057,-0.274,-0.366,4.329,0.793
-0.97,0.054,-0.281,-0.366,6.341,0.549
-0.976,0.053,-0.285,-0.549,8.841,0.61
-0.976,0.049,-0.279,-0.488,11.037,0.305
-0.976,0.052,-0.275,-0.366,12.988,0.183
-0.975,0.053,-0.276,-0.488,14.695,-0.305
-0.972,0.054,-0.284,-0.366,15.305,-0.549
-0.979,0.053,-0.281,-0.244,14.878,-0.488
-0.98,0.053,-0.277,-0.244,13.841,-0.427
-0.98,0.057,-0.283,-0.122,11.341,-0.427
-0.982,0.055,-0.282,-0.244,8.902,-0.244
-0.988,0.054,-0.276,-0.122,6.159,-0.061
-0.996,0.053,-0.273,-0.061,2.988,0.061
-0.996,0.049,-0.271,0.061,0.427,0.061
-1,0.049,-0.269,0.061,-0.671,0.061
-1.001,0.052,-0.263,0.122,-0.732,0.183
-0.993,0.053,-0.262,0.122,-0.549,0.305
-0.989,0.062,-0.257,0.183,-0.244,0.427
-0.985,0.059,-0.264,0.061,-0.061,0.183
-0.965,0.052,-0.266,0.061,0,-0.061
-0.963,0.053,-0.277,0.183,-0.244,0.122
-0.957,0.06,-0.289,0.061,-0.915,0.305
-0.948,0.062,-0.286,0,-1.159,0.366
-0.944,0.052,-0.29,0.122,-1.707,0.549
-0.942,0.055,-0.288,0.061,-2.195,0.549
-0.931,0.056,-0.296,0.305,-2.561,0.671
-0.941,0.053,-0.289,-0.061,-3.232,0.671
-0.959,0.055,-0.288,0.183,-3.476,0.732
-0.974,0.05,-0.282,-0.183,-3.902,1.098
-0.981,0.052,-0.274,-0.183,-3.963,1.037
-0.977,0.052,-0.271,0.305,-3.476,0.793
-0.969,0.056,-0.276,0.122,-3.11,0.732
-0.963,0.051,-0.283,0.244,-2.988,0.854
-0.968,0.05,-0.282,0.061,-2.805,0.732
-0.98,0.051,-0.288,0.366,-2.439,0.793
-0.98,0.05,-0.287,0.366,-1.829,0.549
-0.972,0.046,-0.284,0.122,-1.402,0.488
-0.969,0.055,-0.283,0.061,-0.793,0.488
-0.98,0.051,-0.29,0.122,0.183,0.488
-0.97,0.045,-0.274,0.122,0.976,0.732
-0.979,0.06,-0.279,-0.061,1.585,0.915
-0.974,0.042,-0.284,-0.244,2.378,0.976
-0.979,0.051,-0.28,-0.244,3.659,1.037
-0.968,0.052,-0.271,-0.488,5.183,0.61
