aX,aY,aZ,gX,gY,gZ
0.951,0.29,-0.2,-4.634,3.354,-5.061
0.953,0.29,-0.2,-4.451,3.293,-3.598
0.949,0.291,-0.199,-5.244,3.354,-3.902
0.942,0.291,-0.194,-5,3.293,-4.451
0.941,0.29,-0.2,-5,3.293,-4.207
0.942,0.292,-0.197,-4.817,2.988,-4.329
0.94,0.293,-0.194,-4.634,3.049,-4.085
0.939,0.292,-0.19,-4.817,3.049,-4.024
0.938,0.298,-0.187,-4.634,2.683,-4.207
0.944,0.3,-0.18,-4.329,2.378,-3.963
0.937,0.3,-0.176,-4.268,2.195,-3.659
0.937,0.302,-0.17,-4.024,2.195,-3.476
0.936,0.307,-0.161,-3.963,2.012,-3.476
0.928,0.308,-0.153,-3.659,1.829,-3.232
0.923,0.307,-0.152,-3.415,1.646,-3.049
0.923,0.312,-0.15,-3.232,1.098,-2.683
0.928,0.315,-0.141,-3.293,0.427,-2.622
0.924,0.319,-0.137,-2.988,0.305,-2.195
0.917,0.32,-0.13,-2.805,0.122,-1.829
0.914,0.326,-0.129,-2.866,0.122,-1.707
0.915,0.327,-0.126,-2.805,0.061,-1.463
0.914,0.33,-0.122,-2.439,-0.061,-1.22
0.908,0.331,-0.117,-2.378,-0.427,-0.854
0.905,0.334,-0.117,-2.561,-0.427,-0.549
0.902,0.336,-0.111,-2.317,-0.305,-0.183
0.902,0.335,-0.113,-1.829,0,0.061
0.901,0.335,-0.118,-1.829,0.366,0.244
0.898,0.336,-0.111,-2.012,0.549,0.366
0.894,0.337,-0.114,-2.012,0.305,0.61
0.897,0.336,-0.122,-2.073,0,0.793
0.896,0.336,-0.117,-2.256,0,1.037
0.893,0.333,-0.112,-2.134,0.122,1.037
0.894,0.339,-0.115,-2.134,-0.183,1.037
0.89,0.335,-0.118,-1.951,0,1.22
0.887,0.333,-0.118,-1.829,0.122,1.098
0.887,0.332,-0.12,-1.829,0.427,1.159
0.89,0.329,-0.122,-1.951,0.61,0.915
0.889,0.334,-0.119,-1.768,0.549,0.671
0.891,0.333,-0.124,-1.951,0.183,0.61
0.895,0.334,-0.122,-1.951,0.244,0.488
0.898,0.335,-0.124,-1.829,0.366,0.488
0.902,0.335,-0.127,-1.89,0.549,0.244
0.907,0.332,-0.125,-2.073,0.732,0
0.909,0.334,-0.125,-2.012,0.732,0
0.914,0.329,-0.122,-1.829,0.854,-0.122
0.915,0.326,-0.121,-1.707,0.732,-0.427
0.917,0.333,-0.127,-1.707,0.671,-0.61
0.925,0.333,-0.13,-1.768,0.488,-0.793
0.926,0.328,-0.129,-1.89,0.305,-1.22
0.934,0.323,-0.132,-1.89,0.061,-1.22
0.938,0.323,-0.129,-1.707,-0.244,-1.341
0.938,0.326,-0.138,-1.768,-0.183,-1.829
0.938,0.324,-0.133,-1.585,-0.549,-1.951
0.94,0.322,-0.132,-1.585,-1.037,-2.012
0.942,0.32,-0.133,-1.524,-1.402,-2.134
0.938,0.318,-0.132,-1.159,-1.524,-2.195
0.941,0.319,-0.13,-0.976,-1.463,-2.378
0.95,0.32,-0.13,-0.671,-1.098,-2.622
0.945,0.321,-0.129,-0.732,-0.793,-2.622
0.949,0.321,-0.127,-0.61,-0.671,-2.5
0.949,0.321,-0.123,-0.488,-0.61,-2.561
0.956,0.314,-0.124,-0.244,-0.427,-2.744
0.955,0.313,-0.123,-0.122,-0.244,-2.927
0.958,0.314,-0.122,-0.061,-0.305,-2.988
0.953,0.319,-0.121,0.122,-0.305,-2.866
0.953,0.316,-0.121,0.244,-0.549,-2.927
0.952,0.318,-0.119,0.183,-0.61,-2.988
0.947,0.323,-0.115,0.183,-0.488,-3.049
0.945,0.322,-0.109,0.427,-0.244,-3.11
0.937,0.322,-0.111,0.366,0.061,-3.049
0.936,0.321,-0.114,0.549,0.366,-2.927
0.934,0.32,-0.112,0.671,0.549,-3.049
0.93,0.323,-0.113,0.427,0.427,-2.805
0.935,0.325,-0.11,0.61,0.305,-2.927
0.935,0.328,-0.109,0.61,0.244,-3.049
0.935,0.325,-0.12,0.427,0.305,-2.927
0.934,0.319,-0.121,0.61,0.183,-2.805
0.928,0.322,-0.119,0.549,-0.061,-2.683
0.93,0.322,-0.12,0.732,-0.305,-2.561
0.926,0.322,-0.119,0.732,-0.305,-2.744
0.925,0.326,-0.124,0.793,-0.488,-2.622
0.923,0.324,-0.123,0.976,-0.427,-2.561
0.921,0.332,-0.124,0.976,-0.549,-2.5
0.917,0.328,-0.125,1.037,-0.61,-2.378
0.916,0.332,-0.124,1.341,-0.732,-2.317
0.916,0.333,-0.125,1.402,-0.854,-2.317
0.919,0.333,-0.122,1.402,-0.732,-2.012
0.916,0.333,-0.131,1.524,-0.488,-1.89
0.917,0.336,-0.129,1.646,-0.732,-2.073
0.917,0.34,-0.125,1.707,-0.671,-1.89
0.92,0.339,-0.119,1.829,-0.061,-1.768
0.918,0.341,-0.119,2.012,-0.061,-1.585
0.913,0.34,-0.119,2.134,0.061,-1.524
0.915,0.348,-0.12,2.012,0.305,-1.22
0.913,0.344,-0.12,1.951,0.488,-1.037
0.917,0.347,-0.118,2.073,0.61,-0.854
0.911,0.347,-0.12,1.89,0.549,-0.732
0.907,0.346,-0.116,2.134,0.244,-0.549
0.91,0.351,-0.115,2.439,-0.244,-0.549
0.91,0.349,-0.121,2.5,-0.183,-0.427
0.909,0.35,-0.122,2.317,-0.061,-0.183
0.905,0.352,-0.124,2.744,-0.183,-0.122
0.903,0.353,-0.123,3.049,-0.183,-0.183
0.903,0.347,-0.12,2.927,-0.427,-0.122
0.897,0.346,-0.116,2.988,-0.793,-0.122
0.896,0.344,-0.117,3.049,-0.915,-0.366
0.9,0.341,-0.121,3.354,-0.732,-0.61
0.901,0.341,-0.118,3.354,-0.671,-0.732
0.902,0.337,-0.118,3.293,-0.244,-0.976
0.897,0.333,-0.115,3.598,-0.061,-1.28
0.907,0.332,-0.117,3.476,0.183,-1.585
0.911,0.333,-0.116,3.659,0.488,-1.89
0.916,0.329,-0.12,3.659,0.793,-2.134
0.918,0.325,-0.116,3.72,0.976,-2.317
0.918,0.325,-0.108,3.78,1.159,-2.378
0.927,0.324,-0.115,3.841,1.585,-2.683
0.929,0.323,-0.114,3.659,1.707,-2.805
0.934,0.323,-0.111,3.841,1.951,-2.927
0.941,0.323,-0.114,3.78,2.256,-2.866
0.942,0.323,-0.118,3.293,2.866,-2.988
0.947,0.322,-0.115,3.598,3.293,-3.11
0.953,0.322,-0.122,3.232,3.537,-3.049
0.952,0.324,-0.124,2.927,3.841,-3.354
0.946,0.324,-0.129,2.805,3.72,-3.354
0.95,0.322,-0.127,2.5,3.72,-3.171
0.948,0.326,-0.13,2.317,3.537,-3.293
0.948,0.319,-0.134,2.256,3.293,-3.11
0.944,0.321,-0.141,1.951,3.049,-3.232
0.94,0.327,-0.14,1.646,2.988,-3.171
0.933,0.321,-0.139,1.28,2.683,-3.049
0.928,0.324,-0.144,1.037,2.439,-2.988
0.927,0.324,-0.151,1.037,1.768,-2.927
0.924,0.323,-0.149,0.976,1.463,-2.988
0.925,0.324,-0.154,0.915,1.524,-2.805
0.923,0.325,-0.159,0.671,1.037,-2.805
0.925,0.327,-0.155,0.549,0.915,-2.683
0.926,0.328,-0.153,0.61,0.915,-2.744
0.926,0.33,-0.158,0.488,0.61,-2.622
0.923,0.331,-0.159,0.183,0.427,-2.5
0.926,0.332,-0.158,0.122,0.244,-2.378
0.924,0.333,-0.149,0.244,0.244,-2.134
0.926,0.334,-0.152,0.366,0.427,-2.012
0.923,0.337,-0.146,0.183,0.549,-2.073
0.921,0.334,-0.148,0.244,0.671,-1.89
0.919,0.339,-0.147,0.122,0.793,-1.585
0.919,0.34,-0.145,0.244,0.915,-1.463
0.918,0.337,-0.142,0.122,0.854,-1.463
