aX,aY,aZ,gX,gY,gZ,,,,
-1.099,-0.028,-3.131,-239.38,-69.824,-16.846,,,,
-0.822,-3.56,3.204,-207.153,-90.332,-18.494,,,,
-1.426,-0.417,-0.643,-19.714,-28.198,-4.15,,,,
-1.341,-1.51,-0.656,14.954,-33.752,-11.902,,,,
-1.375,-1.524,-0.406,48.279,-18.188,-18.616,,,,
-1.338,-1.376,-0.253,69.397,-0.122,-16.724,,,,
-1.368,-1.356,-0.186,62.012,5.31,-17.334,,,,
-1.231,-1.355,-0.163,52.368,15.869,-12.878,,,,
-1.225,-1.45,-0.166,38.513,18.372,-13.733,,,,
-1.12,-1.435,-0.208,37.17,25.94,-15.747,,,,
-1.029,-1.461,-0.178,38.025,31.311,-20.447,,,,
-0.902,-1.42,-0.079,50.415,36.499,-26.489,,,,
-0.765,-1.589,0.192,62.195,38.025,-33.63,,,,
-0.633,-1.695,0.497,69.641,35.034,-43.823,,,,
-0.494,-1.745,0.724,70.618,28.198,-56.03,,,,
-0.409,-1.749,0.869,69.214,17.09,-68.848,,,,
-0.313,-1.7,0.943,66.833,4.761,-82.153,,,,
-0.242,-1.607,0.933,66.711,-7.69,-95.947,,,,
-0.222,-1.491,0.855,64.392,-20.935,-109.253,,,,
-0.199,-1.356,0.745,60.12,-33.081,-122.437,,,,
-0.196,-1.184,0.601,53.528,-43.213,-133.545,,,,
-0.21,-0.991,0.487,50.11,-49.561,-142.883,,,,
-0.208,-0.819,0.42,45.959,-52.246,-149.292,,,,
-0.224,-0.613,0.34,37.109,-55.115,-153.625,,,,
-0.241,-0.401,0.26,27.222,-57.8,-156.128,,,,
-0.275,-0.129,0.183,18.86,-59.143,-156.86,,,,
-0.309,0.133,0.12,19.287,-58.655,-154.663,,,,
-0.348,0.384,0.066,25.635,-56.763,-149.17,,,,
-0.385,0.599,0.015,32.471,-54.626,-140.747,,,,
-0.43,0.806,-0.036,39.429,-52.246,-130.31,,,,
-0.473,1.011,-0.09,47.241,-49.316,-117.737,,,,
