aX,aY,aZ,gX,gY,gZ
-1.178,-0.246,-1.202,-53.162,1.953,-6.409
-1.241,0.252,-1.078,-153.076,9.705,-13.550
-0.860,0.479,-0.237,-207.031,35.522,-8.667
-0.773,0.864,0.233,-254.150,39.429,-5.920
-0.895,0.693,0.089,-254.333,28.870,2.747
-0.999,0.315,-0.141,-246.826,25.024,11.597
-0.964,0.116,-0.292,-251.587,27.100,11.414
-0.932,-0.017,-0.312,-253.601,32.349,7.507
-1.023,-0.076,-0.422,-229.919,39.185,-1.526
-1.048,-0.022,-0.363,-198.486,51.819,-12.085
-1.015,0.149,-0.382,-175.293,62.927,-22.888
-0.995,0.299,-0.545,-144.653,74.707,-29.968
-0.927,0.443,-0.528,-119.690,91.980,-33.569
-0.874,0.487,-0.414,-112.366,107.300,-32.166
-0.833,0.515,-0.309,-110.779,116.394,-30.151
-0.829,0.469,-0.198,-98.999,124.817,-26.794
-0.839,0.390,-0.096,-84.229,132.324,-24.536
-0.863,0.308,0.071,-76.416,138.000,-23.437
-0.789,0.402,0.394,-62.561,143.494,-25.330
-0.746,0.260,0.448,-61.340,138.428,-23.437
-0.642,0.329,0.809,-59.814,132.019,-23.621
-0.635,0.277,0.940,-59.143,115.662,-24.170
-0.724,0.305,0.916,-69.458,90.576,-24.902
-0.780,0.299,0.755,-67.139,71.533,-27.344
-0.824,0.327,0.599,-84.778,54.199,-29.785
-0.837,0.477,0.579,-117.310,41.260,-32.898
-0.828,0.595,0.561,-129.822,30.090,-32.471
-0.882,0.647,0.478,-125.244,20.752,-28.625
-0.953,0.697,0.408,-119.324,13.672,-22.888
-1.017,0.735,0.367,-102.600,10.742,-16.357
-1.031,0.766,0.300,-75.867,10.132,-8.728
-1.009,0.710,0.272,-59.753,9.766,-0.061
-0.998,0.597,0.238,-61.401,8.484,9.033
-0.998,0.465,0.182,-75.378,5.920,16.418
-0.965,0.414,0.166,-97.839,3.906,20.020
-0.975,0.340,0.147,-119.446,1.526,22.400
-0.971,0.283,0.114,-126.526,-0.183,23.071
-0.989,0.254,0.125,-123.291,0.366,22.339
-1.002,0.274,0.130,-114.441,2.319,20.508
-1.039,0.330,0.134,-101.624,5.432,19.409
-1.026,0.364,0.101,-81.909,8.972,19.348
-1.042,0.383,0.072,-65.430,12.817,19.836
-1.044,0.416,0.047,-53.589,14.893,19.836
-1.048,0.432,0.026,-45.593,16.602,20.264
-1.024,0.430,0.046,-45.471,17.517,21.057
-1.018,0.545,0.091,-55.481,16.479,21.790
-1.048,0.606,0.117,-63.110,14.038,23.865
-1.043,0.626,0.186,-71.960,11.108,28.870
-1.027,0.584,0.226,-78.735,7.629,35.278
-1.026,0.491,0.227,-76.233,4.761,41.931
-1.034,0.402,0.164,-68.237,2.747,47.119
-1.035,0.337,0.118,-57.678,2.319,50.171
-1.007,0.244,0.082,-46.753,3.845,52.185
-0.978,0.182,0.058,-39.246,4.639,52.185
-0.942,0.151,0.056,-39.490,5.188,50.354
-0.943,0.192,0.042,-46.753,4.211,47.546
-0.956,0.210,0.018,-51.331,3.113,45.593
-0.964,0.173,0.007,-49.255,3.174,44.861
-0.958,0.105,0.014,-43.213,4.639,44.067
-0.912,0.049,0.047,-37.354,6.287,42.236
-0.907,0.053,0.055,-39.429,6.775,39.429
-0.900,-0.011,0.050,-39.429,7.324,37.781
-0.856,-0.039,0.042,-37.109,7.996,35.034
-0.853,-0.087,-0.025,-35.645,8.301,31.372
-0.869,-0.119,-0.100,-37.476,8.057,26.245
-0.837,-0.033,-0.113,-42.725,10.559,19.409
-0.839,0.156,-0.116,-46.448,12.451,12.207
-0.877,0.309,-0.102,-47.913,14.709,8.911
-0.916,0.398,-0.084,-42.603,17.151,8.789
-0.961,0.437,-0.019,-35.828,19.836,10.437
-0.964,0.414,0.069,-28.442,21.973,13.733
-0.960,0.332,0.144,-23.437,21.851,17.578
-0.934,0.221,0.167,-21.118,19.531,20.447
-0.921,0.146,0.132,-23.560,15.442,20.813
-0.901,0.156,0.051,-29.602,11.169,18.799
-0.889,0.176,-0.036,-35.522,8.545,16.968
-0.924,0.216,-0.104,-40.466,8.179,15.259
-0.957,0.300,-0.114,-40.039,10.681,13.733
