aX,aY,aZ,gX,gY,gZ
0.786,-0.699,1.178,59.570,60.547,57.495
0.780,-0.782,1.160,46.631,52.063,53.711
0.750,-0.778,1.077,30.273,33.447,46.387
0.720,-0.732,1.004,28.320,26.550,41.138
0.705,-0.717,0.845,25.635,17.456,32.715
0.696,-0.667,0.792,22.278,14.893,29.358
0.692,-0.672,0.762,20.325,13.428,26.550
0.711,-0.679,0.750,14.587,11.658,20.386
0.714,-0.682,0.752,12.817,10.742,17.151
0.725,-0.634,0.760,6.409,8.301,10.376
0.728,-0.592,0.726,6.165,6.653,7.263
0.687,-0.521,0.635,6.409,3.540,3.540
0.671,-0.505,0.591,11.108,3.662,2.502
0.666,-0.506,0.569,21.484,6.592,0.305
0.686,-0.525,0.573,20.996,7.812,-0.916
0.693,-0.517,0.585,15.076,8.057,-2.502
0.666,-0.479,0.602,2.991,7.141,-5.066
0.672,-0.458,0.592,-1.038,5.493,-6.470
0.658,-0.391,0.549,-2.319,5.310,-6.714
0.668,-0.334,0.510,-0.305,5.676,-5.981
0.658,-0.322,0.514,-1.770,6.470,-4.822
0.666,-0.357,0.550,0.244,9.155,-1.831
0.676,-0.381,0.573,1.526,9.766,-0.732
0.688,-0.434,0.622,2.075,10.681,0.671
0.705,-0.461,0.651,0.305,10.864,0.671
0.712,-0.493,0.717,-3.967,10.437,-0.183
0.714,-0.498,0.748,-7.019,9.460,-1.038
0.715,-0.491,0.793,-9.155,6.775,-3.052
0.714,-0.492,0.815,-10.559,3.235,-4.333
0.717,-0.512,0.860,-11.414,0.916,-5.127
0.716,-0.516,0.898,-13.855,-4.761,-6.714
0.714,-0.522,0.907,-14.160,-7.507,-7.507
0.707,-0.533,0.927,-18.250,-13.611,-9.705
0.708,-0.528,0.922,-17.334,-17.212,-11.230
0.702,-0.494,0.870,-14.465,-23.865,-14.343
0.691,-0.471,0.842,-13.611,-26.550,-15.198
0.676,-0.447,0.802,-11.780,-30.273,-15.930
0.668,-0.456,0.799,-7.446,-32.104,-15.747
0.663,-0.500,0.809,-3.967,-32.898,-15.991
0.669,-0.552,0.846,-2.991,-34.729,-17.883
0.672,-0.578,0.866,-2.808,-35.889,-19.043
0.673,-0.591,0.903,-6.958,-39.490,-22.522
0.672,-0.599,0.925,-10.193,-41.687,-24.353
0.670,-0.599,0.967,-15.808,-46.753,-27.649
0.664,-0.593,0.974,-15.808,-49.561,-29.663
0.657,-0.547,0.958,-17.456,-55.725,-33.386
0.646,-0.523,0.934,-17.517,-61.523,-35.400
0.613,-0.487,0.890,-17.212,-63.171,-35.828
0.611,-0.485,0.898,-15.503,-66.528,-36.011
0.614,-0.482,0.885,-14.893,-68.237,-36.499
0.592,-0.437,0.842,-15.137,-71.838,-36.987
0.592,-0.437,0.832,-14.832,-72.937,-36.865
0.569,-0.420,0.789,-16.602,-75.439,-36.011
0.559,-0.409,0.755,-15.320,-76.355,-35.645
0.533,-0.364,0.682,-15.503,-76.477,-34.607
0.513,-0.349,0.659,-12.207,-73.425,-32.288
