aX,aY,aZ,gX,gY,gZ
-0.538,-0.467,-1.611,80.933,136.963,93.323
-0.474,-0.567,-1.437,63.66,164.246,92.651
-0.826,-2.373,-0.627,204.834,174.072,88.379
-0.813,-2.751,4,-331.665,128.784,80.139
-0.895,-3.527,4,-166.626,52.124,43.152
-0.83,-2.235,4,-239.136,20.02,-2.319
-0.977,-1.924,2.628,-219.971,-30.029,-30.457
-1.103,-1.173,1.234,-134.888,-50.049,-52.002
-1.149,-0.323,0.061,-27.1,-56.763,-66.223
-1.091,0.152,0.267,57.495,-46.997,-70.251
-1.137,0.699,1.027,64.453,-46.082,-66.223
-1.152,0.42,0.337,116.516,-44.128,-55.908
-1.129,0.192,0.149,115.784,-27.649,-46.57
-1.07,0.274,0.144,55.664,-17.761,-37.598
-0.948,0.29,0.352,77.942,-11.353,-28.625
-0.894,0.328,0.662,62.805,-8.179,-20.569
-0.84,0.279,0.837,56.519,-9.766,-11.292
-0.793,0.22,0.922,48.645,-15.076,-4.578
-0.761,0.092,0.917,44.128,-22.278,2.441
-0.736,0.007,0.855,33.203,-30.457,7.141
-0.714,-0.062,0.784,23.987,-38.147,10.071
-0.694,-0.117,0.721,23.987,-44.861,11.902
-0.672,-0.173,0.72,29.297,-50.354,12.512
-0.663,-0.224,0.752,37.781,-55.786,11.719
-0.664,-0.289,0.792,48.279,-61.951,10.01
-0.661,-0.395,0.783,54.871,-68.054,7.629
-0.675,-0.489,0.695,54.382,-73.364,3.967
-0.697,-0.528,0.575,46.997,-78.308,-1.038
-0.71,-0.543,0.485,40.161,-81.299,-6.104
-0.734,-0.52,0.401,34.668,-82.947,-10.742
-0.756,-0.488,0.309,26.428,-82.947,-15.442
-0.774,-0.434,0.195,13.794,-81.604,-19.592
-0.788,-0.374,0.067,1.709,-79.346,-23.071
-0.8,-0.314,-0.056,-5.676,-76.172,-25.452
-0.828,-0.237,-0.166,-7.69,-72.144,-27.71
-0.837,-0.166,-0.224,-7.263,-66.772,-28.809
-0.848,-0.096,-0.244,-5.005,-61.035,-29.114
-0.857,-0.067,-0.247,-1.587,-54.565,-28.198
-0.856,-0.041,-0.245,0.916,-48.096,-27.039
-0.845,-0.011,-0.236,0.61,-41.809,-25.208
-0.842,0.01,-0.237,-0.916,-36.377,-23.437
-0.838,0.023,-0.231,-3.113,-30.884,-21.057
-0.836,0.045,-0.229,-4.211,-25.33,-18.921
-0.833,0.041,-0.217,-4.089,-19.653,-16.357
-0.822,0.028,-0.21,-3.784,-14.038,-13.611
-0.811,0.044,-0.211,-5.188,-9.277,-11.902
-0.798,0.064,-0.222,-6.714,-5.31,-9.949
-0.789,0.091,-0.237,-7.751,-1.099,-7.812
-0.779,0.116,-0.257,-9.277,3.357,-5.859
-0.77,0.14,-0.278,-10.803,7.874,-3.357
