Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,Sync_end,,,POINT,3.680,3.680,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,9.402,9.402,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,10.650,10.650,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,12.151,12.151,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,13.403,13.403,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,14.903,14.903,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,16.404,16.404,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,17.904,17.904,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,19.403,19.403,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,20.653,20.653,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,21.903,21.903,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,23.404,23.404,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_1,,,POINT,24.655,24.655,NA,,
accgyro,2021-12-13 20:39:56,,/Users/ryuhaerangchoi/Downloads/p2.mp4,352.510,30.02,No focal subject,2beats_2,,,POINT,26.402,26.402,NA,,
