aX,aY,aZ,gX,gY,gZ,,,,
-0.464,-1.974,-0.261,27.283,27.405,-51.88,,,,
-0.424,-0.755,0.333,-3.113,41.321,-93.079,,,,
-0.57,0.112,0.498,-48.889,48.95,-108.582,,,,
-0.734,0.517,0.912,-25.085,42.175,-100.952,,,,
-0.759,0.587,0.796,-22.644,41.565,-88.989,,,,
-0.771,0.696,0.84,-2.808,39.368,-75.134,,,,
-0.853,0.439,0.722,-1.221,34.729,-58.533,,,,
-0.893,0.303,0.758,4.822,33.691,-46.387,,,,
-0.915,0.075,0.753,5.188,31.067,-38.879,,,,
-0.859,-0.14,0.754,0.488,28.503,-36.926,,,,
-0.792,-0.307,0.736,-14.038,22.949,-39.185,,,,
-0.734,-0.125,0.765,-45.959,14.832,-44.678,,,,
-0.768,0.323,0.948,-66.772,4.761,-46.631,,,,
-0.772,0.403,0.856,-30.945,-0.793,-40.894,,,,
-0.827,0.485,0.79,-9.949,-4.395,-33.142,,,,
-0.821,0.529,0.706,-6.592,-6.592,-23.682,,,,
-0.822,0.57,0.68,-6.531,-7.568,-12.939,,,,
-0.858,0.472,0.609,-3.54,-7.996,-2.441,,,,
-0.909,0.483,0.544,-0.61,-6.592,6.165,,,,
-0.902,0.43,0.481,8.301,-4.395,14.099,,,,
-0.892,0.311,0.46,10.803,0.366,22.461,,,,
-0.901,0.223,0.457,8.179,2.502,28.381,,,,
-0.892,0.101,0.462,6.531,5.493,33.203,,,,
-0.864,0.057,0.425,5.493,7.751,35.461,,,,
-0.844,-0.013,0.38,5.31,10.437,36.804,,,,
-0.816,-0.075,0.375,3.662,14.709,37.476,,,,
-0.78,-0.136,0.371,-0.366,19.165,37.354,,,,
-0.734,-0.07,0.505,-4.15,24.292,35.95,,,,
-0.718,-0.115,0.585,-8.301,26.794,35.95,,,,
-0.615,-0.222,0.5,0.732,26.367,36.194,,,,
-0.47,-0.304,0.378,9.216,28.931,32.166,,,,
-0.507,-0.568,0.385,12.024,35.889,30.151,,,,
-0.516,-0.502,0.56,7.263,44.25,22.644,,,,
-0.59,-0.392,0.723,17.7,48.828,15.076,,,,
-0.681,-0.334,0.775,31.86,48.889,9.46,,,,
-0.685,-0.236,0.807,30.334,46.448,5.127,,,,
-0.664,-0.131,0.836,31.128,42.358,2.991,,,,
-0.725,-0.059,0.975,29.968,38.208,3.601,,,,
-0.787,-0.054,1.102,25.33,31.616,6.104,,,,
-0.732,-0.159,1.119,18.005,22.4,8.789,,,,
-0.635,-0.368,1.161,11.047,12.39,9.949,,,,
-0.601,-0.527,1.169,1.282,1.648,6.775,,,,
-0.64,-0.42,1.129,-8.972,-10.193,-0.61,,,,
-0.669,-0.135,1.086,-13.245,-19.226,-6.165,,,,
-0.697,0.01,0.992,-11.353,-26.55,-5.859,,,,
-0.732,-0.039,0.915,-9.277,-31.372,-1.099,,,,
-0.758,-0.185,0.845,-5.188,-33.447,3.784,,,,
-0.826,-0.318,0.674,2.991,-35.645,5.371,,,,
-0.758,0.004,0.746,47.607,-32.166,2.075,,,,
-0.76,-0.253,0.673,114.38,-25.757,0.183,,,,
-0.817,-0.539,0.6,108.643,-30.823,7.019,,,,
-0.79,-0.79,0.871,114.502,-21.057,3.479,,,,
-0.724,-1.085,0.836,132.141,-17.273,-2.075,,,,
-0.728,-0.621,0.797,107.117,-29.236,-17.151,,,,
-0.728,-0.541,0.951,128.174,-20.874,-24.719,,,,
-0.837,-0.361,1.228,115.784,-32.898,-28.564,,,,
-0.787,-0.878,0.518,154.846,-29.053,-18.066,,,,
-0.639,-0.511,1.083,127.38,-32.227,-38.391,,,,
-0.739,-0.622,0.967,144.104,-33.325,-32.104,,,,
-0.656,-0.562,1.222,146.973,-35.217,-37.598,,,,
-0.62,-0.839,1.088,179.932,-39.795,-35.461,,,,
-0.614,-0.468,1.158,171.753,-48.401,-47.424,,,,
-0.667,-0.313,1.022,202.759,-55.664,-46.692,,,,
-0.695,-0.138,1.024,222.351,-59.875,-50.11,,,,
-0.695,-0.055,0.967,244.08,-63.599,-45.166,,,,
-0.647,-0.081,0.912,249.512,-66.467,-41.748,,,,
-0.63,-0.036,0.858,248.108,-71.167,-37.537,,,,
-0.711,0.051,0.671,254.822,-76.538,-35.767,,,,
-0.724,0.11,0.493,283.203,-79.773,-33.63,,,,
-0.718,0.136,0.334,304.321,-78.003,-30.151,,,,
-0.798,0.221,0.314,307.922,-74.463,-27.588,,,,
-0.799,0.285,0.291,311.89,-70.557,-23.804,,,,
-0.731,0.281,0.245,320.801,-68.237,-18.25,,,,
-0.741,0.249,0.191,325.989,-66.65,-12.207,,,,
-0.789,0.204,0.156,324.036,-65.063,-7.08,,,,
-0.759,0.145,0.172,330.2,-61.951,-2.502,,,,
-0.747,0.04,0.185,339.783,-59.204,1.77,,,,
-0.753,-0.07,0.186,338.135,-59.204,4.7,,,,
-0.728,-0.14,0.156,324.28,-60.547,5.188,,,,
-0.762,-0.169,0.147,293.701,-62.866,4.7,,,,
-0.804,-0.125,0.188,266.541,-64.514,4.15,,,,
-0.831,-0.112,0.167,268.311,-65.857,5.127,,,,
-0.859,-0.12,0.142,275.94,-67.871,7.385,,,,
-0.845,-0.218,0.033,275.146,-70.679,10.925,,,,
-0.861,-0.237,-0.039,267.7,-72.876,12.146,,,,
-0.877,-0.266,-0.116,274.17,-71.411,12.329,,,,
-0.886,-0.266,-0.157,284.363,-69.58,11.658,,,,
-0.857,-0.256,-0.193,289.673,-67.505,9.705,,,,
-0.817,-0.196,-0.202,289.124,-66.284,6.714,,,,
-0.794,-0.101,-0.198,289.062,-65.735,4.211,,,,
-0.802,-0.012,-0.187,304.687,-64.941,3.479,,,,
-0.787,0.04,-0.196,324.524,-65.674,5.188,,,,
-0.753,0.057,-0.218,347.168,-66.65,7.507,,,,
-0.719,0.057,-0.237,367.249,-68.359,9.521,,,,
-0.708,0.049,-0.414,366.638,-74.097,10.071,,,,
-0.744,0.163,-0.463,345.032,-77.881,9.094,,,,
-0.679,0.252,-0.475,348.389,-76.599,9.644,,,,
-0.656,0.249,-0.529,358.459,-77.026,10.62,,,,
-0.658,0.267,-0.62,347.778,-79.773,12.512,,,,
-0.648,0.226,-0.682,330.872,-81.665,14.709,,,,
-0.589,0.16,-0.746,308.96,-82.336,17.395,,,,
-0.63,0.155,-0.819,274.536,-84.412,18.799,,,,
-0.593,0.096,-0.865,248.047,-83.618,21.606,,,,
-0.578,0.015,-0.939,233.521,-81.726,23.621,,,,
-0.565,-0.052,-0.986,211.121,-79.102,24.109,,,,
-0.54,-0.128,-0.962,186.584,-75.378,24.475,,,,
-0.494,-0.235,-0.896,176.697,-69.885,23.437,,,,
-0.493,-0.329,-0.879,171.692,-67.383,20.447,,,,
-0.509,-0.39,-0.86,165.771,-64.758,15.686,,,,
-0.48,-0.426,-0.82,171.204,-60.974,8.972,,,,
-0.525,-0.336,-0.813,173.462,-58.716,0.916,,,,
-0.59,-0.235,-0.802,178.711,-56.03,-5.676,,,,
-0.612,-0.141,-0.727,191.65,-51.086,-9.827,,,,
-0.613,-0.093,-0.659,203.247,-47.668,-13.123,,,,
-0.646,-0.033,-0.653,205.688,-47.119,-15.93,,,,
-0.669,-0.001,-0.685,199.28,-47.363,-17.517,,,,
-0.682,0.009,-0.689,192.505,-46.753,-18.25,,,,
-0.692,0.01,-0.759,188.904,-47.18,-18.616,,,,
-0.742,0.055,-0.889,172.424,-48.706,-19.592,,,,
