aX,aY,aZ,gX,gY,gZ,
-0.755,0.863,1.354,147.156,-67.2,21.423,
-0.731,0.982,1.366,131.592,-88.013,31.86,
-0.681,0.968,1.185,120.178,-112.061,45.166,
-0.627,0.882,0.956,116.76,-133.789,58.777,
-0.534,0.677,0.705,118.347,-151.001,70.679,
-0.451,0.421,0.315,115.234,-169.006,80.75,
-1.764,-4,-3.76,206.116,-154.602,70.068,
-2.235,-0.969,-1.741,342.224,59.143,-55.786,
-0.159,3.645,1.156,-391.357,-72.754,-26.978,
-2.029,-1.296,-3.599,-73.12,52.124,-47.668,
-1.342,1.441,-0.788,105.53,26.978,-21.484,
-0.849,-0.285,-0.625,-42.542,34.668,20.935,
-1.422,-0.025,-0.128,-40.955,36.621,-4.761,
-1.028,-0.227,-0.402,-28.442,24.353,9.033,
-1.238,-0.16,0.263,-24.292,26.245,4.517,
-1.066,-0.413,-0.066,10.62,14.954,10.376,
-1.015,-0.411,-0.023,26.917,8.606,9.521,
-0.951,-0.188,0.13,43.945,1.709,11.475,
-0.836,-0.64,-0.353,48.767,-3.601,9.338,
-0.815,-0.78,-0.634,46.997,-3.662,1.709,
-0.774,-0.906,-0.908,43.762,-1.282,-6.836,
-0.758,-0.876,-0.974,34.851,6.775,-17.761,
-0.747,-0.773,-0.974,31.311,14.648,-27.893,
-0.765,-0.625,-0.862,27.954,22.949,-36.804,
-0.777,-0.443,-0.7,22.644,29.175,-43.335,
-0.79,-0.233,-0.48,15.442,34.241,-47.363,
-0.819,-0.012,-0.286,10.498,36.072,-49.072,
-0.851,0.179,-0.139,8.728,34.668,-47.791,
-0.883,0.314,-0.054,12.939,31.799,-43.945,
-0.909,0.368,-0.005,20.447,28.442,-38.025,
-0.911,0.349,-0.036,23.499,23.01,-31.067,
-0.911,0.314,-0.108,22.522,18.188,-24.414,
-0.921,0.28,-0.175,21.301,14.465,-18.982,
-0.934,0.251,-0.226,18.799,12.268,-14.404,
-0.943,0.209,-0.289,13.916,10.193,-10.01,
-0.95,0.154,-0.357,9.521,8.972,-6.042,
-0.943,0.088,-0.402,6.348,9.094,-2.93,
-0.93,0.041,-0.425,3.479,9.827,-0.488,
-0.929,0.002,-0.445,-0.061,10.803,1.526,
-0.926,-0.005,-0.433,-3.723,12.268,2.991,
-0.925,-0.001,-0.4,-6.531,14.038,3.967,
-0.91,-0.025,-0.381,-7.263,15.198,5.432,
-0.92,-0.035,-0.384,-6.226,15.625,6.287,
-0.923,-0.051,-0.357,-3.54,17.273,6.958,
-0.913,-0.059,-0.294,-1.892,19.714,7.568,
-0.906,-0.04,-0.237,-2.808,21.118,7.507,
-0.918,-0.011,-0.183,-3.357,21.484,7.141,
-0.917,0.015,-0.129,-2.075,22.217,7.996,
