aX,aY,aZ,gX,gY,gZ
-0.765,-1.188,-2.214,-117.004,53.101,-13.062
-0.165,2.452,1.258,-163.269,-91.003,-1.526
-1.737,0.863,0.954,-72.51,53.528,-33.02
-1.077,-0.236,-1.492,42.48,11.658,-7.812
-1.17,-0.042,-0.724,-47.607,24.963,12.39
-0.734,0.528,0.13,-30.579,1.038,4.517
-1.184,0.074,-0.826,21.057,18.433,3.54
-0.968,0.257,-0.571,21.484,-5.859,15.381
-0.959,0.328,-0.46,23.254,-1.099,17.212
-0.854,-0.057,-0.904,38.696,-1.16,21.973
-0.772,-0.242,-1.193,25.818,-2.625,21.729
-0.718,-0.422,-1.401,13.123,3.357,18.677
-0.672,-0.446,-1.503,1.953,10.62,12.512
-0.642,-0.583,-1.542,-1.404,22.278,6.287
-0.628,-0.594,-1.442,-9.155,34.058,-2.38
-0.608,-0.538,-1.23,-21.912,45.288,-9.338
-0.594,-0.443,-0.955,-30.64,55.054,-17.456
-0.607,-0.306,-0.667,-31.982,61.646,-24.414
-0.627,-0.167,-0.373,-31.311,65.308,-29.907
-0.651,0.005,-0.086,-25.513,65.552,-33.325
-0.663,0.156,0.162,-16.052,62.195,-34.119
-0.691,0.286,0.368,-9.521,54.932,-33.142
-0.723,0.381,0.527,-3.113,44.312,-30.212
-0.733,0.447,0.657,3.357,32.288,-25.574
-0.737,0.474,0.738,8.911,18.372,-19.897
-0.726,0.453,0.751,12.085,2.747,-13.367
-0.713,0.419,0.719,11.963,-12.695,-7.935
-0.702,0.379,0.651,9.583,-28.198,-3.54
-0.691,0.326,0.559,5.127,-43.335,0.977
-0.663,0.245,0.451,3.052,-57.739,5.371
-0.627,0.162,0.317,1.465,-71.716,8.667
-0.595,0.075,0.106,2.563,-85.51,10.803
-0.583,-0.004,-0.159,2.563,-97.595,12.146
-0.53,-0.321,-0.575,0.793,-106.506,12.024
-0.475,-3.95,-4,117.92,-75.378,7.019
-0.977,-0.25,-1.377,-26.55,13.672,-32.349
-0.336,1.036,0.061,-118.774,-37.781,-39.246
-1.466,0.702,-0.567,-32.776,21.362,-49.438
-0.734,-0.004,-2.616,1.587,-16.357,-20.569
-1.088,0.41,-1.045,-20.203,25.33,-15.442
-0.641,0.569,-0.657,-40.588,-0.488,-4.456
-0.999,0.54,-0.714,-19.47,13,-1.648
-0.803,0.257,-1.022,-15.381,-0.061,9.521
-0.836,0.147,-1.075,-27.466,9.033,14.709
-0.715,-0.091,-1.275,-36.56,7.996,18.555
-0.704,-0.181,-1.351,-54.871,14.587,16.968
-0.673,-0.257,-1.446,-69.641,20.203,14.832
-0.666,-0.256,-1.427,-89.539,29.907,10.62
-0.654,-0.195,-1.352,-107.178,39.185,6.897
-0.639,-0.167,-1.26,-119.019,49.011,2.93
-0.647,-0.161,-1.167,-127.869,57.556,-0.61
-0.665,-0.112,-1.075,-142.09,63.843,-2.991
-0.694,-0.035,-0.944,-152.893,69.641,-4.7
-0.714,-0.001,-0.835,-157.349,74.097,-5.432
-0.738,0.014,-0.751,-158.386,76.782,-5.371
-0.76,0.003,-0.708,-158.508,78.491,-4.578
-0.782,-0.053,-0.726,-161.194,79.407,-3.479
-0.782,-0.122,-0.718,-171.265,81.055,-2.563
-0.772,-0.164,-0.693,-188.11,82.581,-2.625
-0.752,-0.215,-0.711,-204.956,83.13,-4.089
-0.736,-0.246,-0.707,-221.497,84.29,-6.165
-0.725,-0.257,-0.666,-242.371,86.243,-9.033
-0.712,-0.222,-0.61,-265.32,86.792,-12.878
-0.691,-0.175,-0.538,-275.94,87.28,-16.907
-0.713,-0.151,-0.521,-276.306,87.585,-20.081
-0.76,-0.156,-0.495,-274.292,87.83,-22.339
-0.812,-0.156,-0.471,-278.625,87.28,-23.193
-0.771,-0.159,-0.451,-276.367,86.365,-24.658
-0.735,-0.103,-0.361,-276.794,87.097,-26.062
-0.759,-0.111,-0.301,-273.254,85.938,-26.55
-0.758,-0.1,-0.236,-265.625,85.571,-27.039
-0.922,-0.035,-0.114,-257.629,83.679,-27.771
-0.828,-0.239,-0.124,-221.497,83.496,-25.696
-0.6,-0.204,-0.081,-217.529,79.773,-25.696
-0.663,-0.186,-0.022,-220.764,75.256,-29.236
-0.849,-0.129,0.031,-209.534,73.486,-32.593
-0.844,-0.179,0.055,-202.087,69.031,-29.846
-0.811,-0.174,0.059,-201.965,64.148,-29.358
-0.832,-0.182,0.089,-195.374,60.486,-28.809
-0.891,-0.176,0.123,-189.758,56.274,-28.259
-0.902,-0.208,0.101,-169.067,52.551,-27.466
-0.881,-0.183,0.137,-151.123,50.232,-27.1
-0.917,-0.168,0.186,-132.324,48.035,-26.611
-0.912,-0.175,0.252,-106.262,46.326,-24.658
-0.91,-0.163,0.341,-86.914,43.579,-22.827
-0.916,-0.185,0.352,-77.454,38.879,-21.118
-0.935,-0.101,0.423,-97.473,30.762,-19.47
-0.914,-0.033,0.451,-85.876,24.78,-17.578
-0.872,0.033,0.451,-40.161,20.569,-15.93
-0.907,0.1,0.411,5.371,16.113,-14.343
-0.96,0.126,0.319,45.593,11.475,-11.292
-0.942,0.106,0.239,68.542,7.385,-6.775
-0.943,0.084,0.182,87.28,4.822,-2.991
-0.955,0.087,0.166,105.713,3.174,0.366
-0.929,0.109,0.212,119.141,2.319,3.296
-0.933,0.173,0.312,135.986,0.977,7.202
-0.981,0.17,0.365,170.288,-0.977,11.597
-0.994,0.159,0.377,203.125,-3.113,15.442
-1.023,0.131,0.377,217.285,-7.141,18.799
-1.009,0.169,0.449,221.924,-10.437,21.79
-1.037,0.196,0.476,234.375,-16.235,23.804
-1.067,0.217,0.48,253.479,-22.095,26.123
-1.058,0.231,0.469,261.414,-29.48,28.687
-1.08,0.261,0.493,267.212,-36.255,31.555
-1.122,0.23,0.478,279.297,-43.457,35.522
-1.118,0.178,0.467,283.264,-51.758,40.466
-1.079,0.083,0.455,281.494,-61.096,44.983
-1.039,-0.003,0.47,277.222,-71.045,48.096
-0.96,-0.113,0.475,271.179,-82.52,49.683
-0.859,-0.16,0.451,259.155,-96.252,48.401
-0.798,-0.189,0.343,251.587,-112.366,46.143
-0.693,-0.247,0.166,260.437,-126.831,43.152
-0.716,-0.228,-0.136,273.499,-139.526,37.231
-0.636,-0.257,-0.405,288.208,-146.301,30.823
-0.602,-0.215,-0.722,294.678,-151.855,24.109
-0.63,-0.234,-1.051,302.368,-152.649,18.799
-0.656,-0.226,-1.4,300.537,-150.696,13.672
-0.671,-0.26,-1.739,288.757,-144.409,10.315
-0.657,-0.283,-2.046,266.846,-133.789,7.751
-0.689,-0.331,-2.282,235.413,-119.019,5.432
-0.621,-0.361,-2.419,193.237,-100.098,3.418
-0.581,-0.376,-2.509,150.94,-80.566,1.709
-0.577,-0.394,-2.542,118.347,-58.655,0.122
-0.583,-0.392,-2.529,87.769,-36.56,-1.038
-0.596,-0.41,-2.42,60.669,-13.367,-1.831
-0.571,-0.447,-2.208,34.302,8.606,-1.648
-0.547,-0.486,-1.903,12.451,29.419,-2.136
-0.527,-0.516,-1.555,-1.465,46.387,-3.906
-0.513,-0.547,-1.188,-5.737,59.57,-6.104
-0.499,-0.56,-0.836,-4.028,68.359,-9.46
-0.495,-0.54,-0.492,2.747,72.632,-14.038
-0.492,-0.494,-0.178,16.174,72.571,-18.616
-0.506,-0.425,0.09,30.457,68.237,-22.522
-0.508,-0.343,0.319,41.382,60.059,-25.94
-0.529,-0.219,0.508,51.941,48.828,-28.992
-0.537,-0.102,0.642,62.683,35.339,-31.25
-0.555,0.044,0.729,72.388,20.142,-32.593
-0.58,0.177,0.765,80.811,4.517,-32.043
-0.578,0.328,0.793,86.121,-10.681,-30.273
-0.589,0.496,0.788,91.797,-26.306,-27.588
-0.598,0.64,0.75,97.717,-41.87,-22.827
-0.582,0.749,0.677,102.234,-56.763,-16.113
-0.582,0.854,0.599,105.042,-70.984,-8.484
-0.587,0.937,0.56,103.333,-83.252,-0.122
-0.542,0.978,0.529,97.107,-95.215,9.888
-0.509,1.013,0.504,87.769,-107.422,19.897
-0.494,1.024,0.459,79.285,-120.3,30.212
-0.467,0.985,0.361,75.562,-133.301,41.26
-0.441,0.901,0.21,75.806,-146.24,52.185
-0.401,0.759,-0.051,77.576,-158.997,62.744
-0.545,1.924,0.166,76.294,-171.692,73.059
-0.211,-1.838,-3.613,458.374,-31.372,37.598
-1.434,-1.156,-3.543,-133.484,-48.401,22.522
-0.224,1.576,1.632,-240.051,-25.452,-24.658
-1.862,2.028,-0.629,18.25,8.301,-3.662
-0.688,-0.474,-1.632,19.531,-9.644,16.296
-1.284,0.496,-1.063,-15.198,18.188,20.447
-0.573,0.235,0.082,-24.658,-13.367,31.067
-1.144,-0.124,-1.61,27.405,-0.61,23.926
-0.857,-0.084,-0.871,37.231,-13.184,36.926
-0.83,-0.059,-1.198,24.292,-17.944,34.973
-0.729,-0.474,-1.522,25.757,-7.874,35.889
-0.661,-0.608,-1.858,8.484,-8.362,28.259
-0.624,-0.691,-1.991,-1.038,7.385,21.118
-0.58,-0.719,-2.086,-12.085,19.47,9.155
-0.572,-0.651,-2.044,-14.709,39.246,-0.854
-0.551,-0.585,-1.88,-17.517,56.702,-10.864
-0.562,-0.447,-1.646,-19.287,74.097,-19.653
-0.568,-0.304,-1.374,-22.217,86.243,-26.367
-0.594,-0.154,-1.122,-24.475,95.764,-30.823
-0.623,-0.011,-0.876,-26.489,101.379,-32.593
-0.653,0.099,-0.679,-26.733,104.614,-32.593
-0.662,0.18,-0.522,-23.254,105.408,-30.64
-0.685,0.239,-0.39,-18.433,104.675,-27.588
-0.7,0.281,-0.279,-16.907,102.051,-23.804
-0.714,0.308,-0.165,-18.433,98.45,-19.531
-0.715,0.319,-0.057,-21.179,93.933,-15.137
-0.719,0.31,0.066,-23.682,88.623,-10.803
-0.721,0.293,0.201,-23.071,82.947,-6.775
-0.701,0.262,0.362,-22.217,76.233,-3.235
-0.701,0.246,0.521,-21.24,67.505,0
-0.693,0.217,0.681,-19.104,57.495,2.625
-0.676,0.191,0.812,-15.015,45.166,5.188
-0.669,0.167,0.928,-11.353,31.799,6.714
-0.654,0.117,0.977,-8.118,16.174,8.484
-0.636,0.082,0.982,-6.287,-0.366,9.46
-0.632,0.059,0.97,-5.737,-16.174,9.583
-0.626,0.03,0.94,-5.798,-32.349,9.888
-0.608,0.019,0.901,-5.981,-48.584,10.01
-0.602,0.022,0.852,-5.798,-64.392,9.888
-0.598,0.039,0.82,-4.761,-79.651,9.888
-0.571,0.039,0.772,-2.625,-94.971,10.498
-0.521,0.062,0.707,0.427,-110.718,11.108
-0.499,0.116,0.599,6.409,-126.282,11.353
-0.459,0.137,0.427,14.893,-140.991,12.451
-0.416,0.178,0.209,24.597,-154.724,13.489
-0.432,0.236,-0.016,33.081,-165.466,14.099
-0.414,0.257,-0.265,38.391,-174.072,16.235
-0.384,0.27,-0.521,38.757,-180.481,19.348
-1.246,-3.877,-4,171.692,-168.823,15.991
-0.612,0.019,-1.542,123.535,24.17,-22.095
-0.276,1.415,0.014,-307.129,-47.668,-67.2
-1.129,1.219,0.479,-41.931,37.231,-41.87
-1.204,1.284,-0.697,11.23,-40.894,-44.006
-0.944,0.574,-2.023,56.824,13.245,-5.127
-0.909,0.554,-0.709,-58.289,-2.258,-7.08
-0.714,0.184,-0.953,-10.437,8.24,4.333
-1.04,0.535,-0.933,-3.174,-9.338,3.113
-0.761,0.462,-0.779,17.151,-8.057,15.503
-0.862,0.246,-1.09,17.151,-9.888,18.066
-0.687,-0.041,-1.437,25.146,-11.536,25.879
-0.669,-0.315,-1.744,15.686,-6.714,24.658
-0.59,-0.475,-1.977,3.967,2.441,21.057
-0.553,-0.601,-2.108,-12.146,15.381,14.16
-0.523,-0.622,-2.075,-24.536,32.41,5.371
-0.5,-0.588,-1.937,-36.377,49.011,-3.479
-0.5,-0.48,-1.698,-47.424,64.758,-12.207
-0.516,-0.327,-1.439,-54.26,77.759,-19.836
-0.541,-0.223,-1.138,-57.739,88.44,-25.757
-0.568,-0.029,-0.887,-61.89,94.604,-27.771
-0.585,0.059,-0.643,-47.363,101.44,-28.564
-0.607,0.049,-0.527,-35.767,102.905,-27.222
-0.623,0.134,-0.362,-33.997,102.478,-25.269
-0.634,0.159,-0.213,-34.302,99.67,-22.522
-0.641,0.201,-0.061,-35.889,95.642,-19.897
-0.652,0.232,0.064,-35.889,89.478,-16.724
-0.673,0.242,0.163,-32.654,82.52,-13.611
-0.69,0.238,0.26,-27.161,75.012,-10.315
-0.7,0.224,0.351,-24.231,66.528,-7.202
-0.702,0.209,0.456,-22.217,57.19,-4.7
-0.703,0.197,0.538,-20.386,46.265,-2.075
-0.697,0.192,0.625,-18.799,34.607,0.305
-0.696,0.205,0.701,-16.541,21.851,2.441
-0.695,0.225,0.766,-14.343,7.996,4.639
-0.692,0.25,0.817,-11.414,-6.531,7.141
-0.687,0.271,0.86,-6.287,-21.118,10.132
-0.678,0.298,0.87,0,-37.292,13.306
-0.666,0.322,0.854,6.775,-54.077,16.785
-0.643,0.337,0.802,12.939,-71.045,20.874
-0.608,0.347,0.742,17.578,-87.219,25.269
-0.572,0.36,0.675,20.325,-102.844,29.663
-0.519,0.359,0.586,23.865,-117.859,33.997
-0.465,0.32,0.46,31.616,-132.08,39.001
-0.402,0.259,0.295,41.016,-145.142,43.518
-0.35,0.196,0.111,49.194,-156.982,46.448
-0.443,1.265,0.469,52.185,-167.603,48.767
0.842,-3.439,-2.188,335.205,-113.586,22.583
-1.04,0.308,-0.683,-293.884,4.211,-41.321
-0.28,0.808,1.118,-126.587,0.854,-49.561
-1.109,1.497,-0.208,-10.559,-27.893,-41.443
-0.814,0.094,-1.807,45.776,-23.621,-22.461
-1.142,0.78,-1.29,-50.964,-2.014,-15.015
-0.728,0.559,-0.66,-36.255,5.981,-2.258
-0.98,0.484,-1.098,-31.311,-0.977,6.592
-0.795,0.309,-0.76,-35.583,0.977,17.761
-0.897,0.426,-0.868,-31.433,-2.441,24.353
-0.815,0.152,-0.892,-27.283,-1.648,31.799
-0.796,0.131,-0.916,-34.668,-0.671,36.926
-0.728,0.051,-0.937,-37.048,0.061,42.786
-0.714,-0.179,-1.193,-44.861,1.465,44.678
-0.69,-0.405,-1.396,-56.702,5.066,45.288
-0.667,-0.637,-1.577,-76.05,12.39,42.969
-0.632,-0.779,-1.641,-97.778,22.522,37.292
-0.605,-0.88,-1.645,-118.713,33.875,28.687
-0.574,-0.886,-1.584,-135.986,45.105,18.555
-0.577,-0.824,-1.49,-149.414,55.847,7.446
-0.596,-0.722,-1.366,-162.842,64.758,-2.502
-0.616,-0.616,-1.235,-178.955,72.021,-10.376
-0.644,-0.503,-1.075,-198.059,77.82,-17.273
-0.671,-0.413,-0.954,-216.37,81.909,-22.827
-0.681,-0.409,-0.841,-232.483,85.266,-27.283
-0.697,-0.317,-0.734,-253.784,86.548,-29.785
-0.697,-0.301,-0.64,-254.7,89.294,-33.691
-0.694,-0.3,-0.591,-262.878,89.172,-36.499
-0.686,-0.272,-0.533,-267.944,88.257,-38.94
-0.668,-0.259,-0.499,-265.747,86.792,-40.161
-0.684,-0.283,-0.512,-263.977,84.9,-41.138
-0.713,-0.288,-0.492,-270.447,82.947,-41.565
-0.772,-0.317,-0.464,-288.635,80.75,-41.931
-0.841,-0.304,-0.426,-306.702,78.369,-43.274
-0.718,-0.27,-0.339,-331.238,75.867,-45.532
-0.723,-0.189,-0.255,-346.619,70.251,-45.898
-0.701,-0.228,-0.227,-332.153,69.031,-47.913
-0.788,-0.17,-0.211,-320.618,64.026,-48.584
-0.777,-0.204,-0.181,-305.908,62.866,-48.828
-0.729,-0.209,-0.139,-291.931,60.303,-48.035
-0.701,-0.251,-0.104,-292.114,56.824,-46.814
-0.701,-0.227,-0.043,-289.124,52.124,-46.448
-0.727,-0.295,-0.054,-278.198,47.974,-45.349
-0.829,-0.299,-0.081,-316.284,40.833,-44.006
-0.85,-0.289,-0.009,-389.221,31.311,-41.016
-0.849,-0.216,0.002,-380.859,25.818,-42.664
-0.845,-0.225,-0.03,-364.319,22.339,-41.809
-0.826,-0.187,0.016,-360.168,18.372,-40.344
-0.806,-0.141,0.072,-335.266,17.09,-39.49
-0.853,-0.108,0.116,-289.246,16.785,-38.696
-0.869,-0.127,0.146,-249.878,16.174,-35.889
-0.857,-0.119,0.188,-218.75,15.076,-32.654
-0.872,-0.121,0.199,-184.021,14.16,-29.968
-0.899,-0.129,0.2,-157.593,12.817,-26.672
-0.887,-0.131,0.208,-136.902,12.207,-22.888
-0.904,-0.12,0.215,-116.394,11.963,-19.165
-0.9,-0.14,0.203,-92.651,12.085,-15.137
-0.907,-0.161,0.181,-74.585,11.597,-10.864
-0.929,-0.192,0.149,-59.998,11.658,-7.812
-0.938,-0.224,0.115,-51.819,12.451,-5.554
-0.922,-0.235,0.111,-55.725,13.123,-3.54
-0.907,-0.223,0.114,-59.57,13.916,-1.953
-0.902,-0.205,0.108,-56.335,14.954,-0.183
-0.906,-0.182,0.106,-51.575,16.357,1.77
-0.912,-0.16,0.093,-41.87,18.372,3.967
-0.931,-0.164,0.088,-30.701,21.667,6.775
-0.937,-0.162,0.125,-29.114,25.391,10.132
-0.909,-0.164,0.168,-24.475,28.87,13.245
-0.899,-0.167,0.201,-17.151,31.433,16.052
-0.914,-0.18,0.216,-9.827,33.203,19.043
-0.912,-0.182,0.225,-1.709,34.912,21.484
-0.91,-0.178,0.234,8.789,36.804,23.865
-0.918,-0.181,0.236,20.325,39.001,26.184
-0.918,-0.181,0.265,30.945,41.931,28.931
-0.908,-0.189,0.294,42.603,44.617,32.104
-0.893,-0.192,0.34,55.237,47.119,35.4
-0.875,-0.207,0.377,69.519,48.706,38.879
-0.865,-0.218,0.385,84.167,48.889,42.053
-0.882,-0.24,0.38,95.459,48.401,44.434
-0.886,-0.238,0.408,101.868,48.34,46.875
-0.869,-0.23,0.42,106.262,47.363,48.828
-0.861,-0.229,0.417,107.117,45.166,51.086
-0.85,-0.244,0.415,103.943,43.091,54.382
-0.818,-0.273,0.424,99.915,41.321,58.472
-0.777,-0.304,0.427,101.318,39.978,62.195
-0.758,-0.339,0.421,109.07,38.757,65.735
-0.765,-0.379,0.402,120.3,38.025,68.359
-0.77,-0.428,0.395,130.188,37.72,70.862
-0.756,-0.482,0.43,132.568,37.537,72.937
-0.743,-0.547,0.443,131.897,35.706,74.28
-0.747,-0.611,0.437,129.639,32.654,74.402
-0.758,-0.664,0.428,124.207,29.175,73.425
-0.749,-0.717,0.418,117.859,25.818,71.533
-0.76,-0.75,0.384,111.877,21.851,68.542
-0.736,-0.761,0.347,105.652,18.86,64.453
-0.719,-0.745,0.328,93.994,16.174,60.791
-0.703,-0.745,0.29,87.036,13.916,57.739
-0.681,-0.766,0.276,80.2,12.756,55.664
-0.673,-0.794,0.264,69.824,12.329,53.589
-0.665,-0.822,0.263,58.655,11.963,51.453
-0.665,-0.824,0.265,47.546,11.292,48.767
-0.66,-0.818,0.26,40.1,10.376,45.776
-0.665,-0.811,0.245,34.485,9.583,42.908
-0.664,-0.813,0.231,27.344,8.728,40.405
-0.665,-0.816,0.208,15.93,7.385,37.72
-0.658,-0.816,0.18,2.869,5.981,35.095
-0.656,-0.803,0.153,-11.414,4.883,32.349
-0.652,-0.784,0.132,-22.827,4.272,29.602
-0.642,-0.779,0.098,-33.02,4.456,27.466
-0.635,-0.776,0.07,-46.143,5.005,25.757
-0.631,-0.777,0.051,-58.838,6.287,24.475
-0.626,-0.779,0.055,-67.139,8.667,23.254
-0.614,-0.772,0.082,-71.96,11.78,21.729
-0.603,-0.76,0.116,-76.05,14.221,20.02
-0.615,-0.745,0.151,-82.092,15.686,18.127
-0.621,-0.731,0.184,-91.064,15.869,16.479
-0.623,-0.706,0.22,-100.525,15.442,14.648
-0.614,-0.703,0.237,-109.741,14.526,13.123
-0.608,-0.692,0.252,-121.155,12.939,12.207
-0.609,-0.677,0.261,-124.756,12.085,11.23
-0.619,-0.684,0.263,-119.69,12.207,10.681
-0.619,-0.712,0.283,-112.732,13.428,10.742
-0.614,-0.748,0.303,-108.032,14.771,10.01
-0.613,-0.79,0.339,-109.619,15.381,8.606
-0.598,-0.813,0.399,-119.751,14.526,6.958
-0.592,-0.8,0.474,-130.554,13,4.456
-0.603,-0.768,0.525,-133.24,10.376,1.953
-0.598,-0.737,0.579,-131.042,7.507,-0.793
-0.604,-0.697,0.595,-130.188,3.54,-2.93
-0.598,-0.68,0.601,-134.521,-0.977,-4.517
-0.59,-0.655,0.594,-135.742,-4.7,-5.493
-0.615,-0.636,0.578,-142.578,-8.423,-5.981
-0.615,-0.625,0.627,-144.653,-10.254,-5.737
-0.612,-0.633,0.671,-131.592,-10.132,-5.31
-0.612,-0.639,0.688,-115.051,-11.108,-5.493
-0.62,-0.628,0.704,-105.713,-12.756,-6.042
-0.629,-0.577,0.771,-98.877,-14.16,-6.531
-0.616,-0.53,0.826,-84.412,-15.564,-6.897
-0.622,-0.51,0.827,-70.313,-18.738,-6.714
-0.628,-0.505,0.786,-64.636,-23.254,-6.348
-0.631,-0.51,0.732,-67.932,-27.161,-6.042
-0.637,-0.501,0.688,-79.224,-30.823,-5.798
-0.641,-0.494,0.656,-87.708,-33.142,-5.127
-0.636,-0.456,0.645,-88.928,-34.058,-4.822
-0.644,-0.417,0.644,-83.069,-33.875,-4.395
-0.636,-0.377,0.67,-75.562,-32.654,-3.235
-0.638,-0.332,0.683,-69.641,-32.227,-1.892
-0.638,-0.292,0.685,-65.308,-32.349,0.122
-0.642,-0.255,0.681,-65.186,-32.898,2.808
-0.65,-0.244,0.652,-65.918,-33.447,6.226
-0.655,-0.224,0.619,-67.139,-33.081,9.888
-0.651,-0.186,0.599,-67.993,-32.227,13.367
-0.646,-0.163,0.566,-65.735,-30.762,17.883
-0.636,-0.176,0.522,-60.059,-28.687,22.827
-0.623,-0.203,0.49,-54.81,-25.635,27.283
-0.599,-0.239,0.491,-52.185,-22.034,31.25
-0.588,-0.31,0.471,-51.697,-19.226,34.729
-0.594,-0.346,0.459,-54.688,-16.968,36.743
