Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,Sync_end,,,POINT,4.900,4.900,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_2,,,POINT,13.900,13.900,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_3,,,POINT,14.900,14.900,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_1,,,POINT,15.901,15.901,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_2,,,POINT,16.900,16.900,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_3,,,POINT,18.150,18.150,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_1,,,POINT,19.151,19.151,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_2,,,POINT,20.400,20.400,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_3,,,POINT,21.401,21.401,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_1,,,POINT,22.400,22.400,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_2,,,POINT,23.401,23.401,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_3,,,POINT,24.650,24.650,NA,,
demo_3,2021-12-13 23:37:44,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/demo_3_re.mov,65.320,30.03,No focal subject,3beats_1,,,POINT,25.651,25.651,NA,,
