Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,Sync_end,,,POINT,2.096,2.096,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,4.733,4.733,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,5.133,5.133,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,5.700,5.700,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,6.267,6.267,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,6.967,6.967,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,7.367,7.367,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,7.967,7.967,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,8.600,8.600,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,9.000,9.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,9.667,9.667,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,10.267,10.267,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,10.800,10.800,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,11.267,11.267,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,11.833,11.833,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,12.333,12.333,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,12.900,12.900,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,13.433,13.433,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,13.967,13.967,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,14.433,14.433,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,15.000,15.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,15.500,15.500,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,16.000,16.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,16.633,16.633,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,17.000,17.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,17.567,17.567,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,18.000,18.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,18.600,18.600,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,19.000,19.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,19.700,19.700,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,20.100,20.100,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,20.667,20.667,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,21.167,21.167,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,21.767,21.767,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,22.267,22.267,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,22.933,22.933,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,23.400,23.400,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,24.000,24.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,24.633,24.633,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,25.000,25.000,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,25.600,25.600,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,26.200,26.200,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,26.733,26.733,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,27.233,27.233,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,27.867,27.867,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,28.333,28.333,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,28.833,28.833,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,29.400,29.400,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,29.933,29.933,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,30.400,30.400,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,31.067,31.067,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,31.667,31.667,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,32.200,32.200,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,32.833,32.833,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,33.367,33.367,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_2,,,POINT,33.833,33.833,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_3,,,POINT,34.400,34.400,NA,,
3beats_forte,2021-12-11 14:13:33,,/Users/ryuhaerangchoi/Downloads/3 Forte HR.mov,350.830,30.0,No focal subject,3beats_1,,,POINT,35.000,35.000,NA,,
