Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,Sync_end,,,POINT,5.429,5.429,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,10.151,10.151,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,10.650,10.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,11.401,11.401,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,11.900,11.900,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,12.400,12.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,13.151,13.151,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,13.400,13.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,14.151,14.151,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,14.651,14.651,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,15.151,15.151,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,15.900,15.900,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,16.400,16.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,16.900,16.900,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,17.651,17.651,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,18.150,18.150,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,18.650,18.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,19.151,19.151,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,19.650,19.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,20.150,20.150,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,20.650,20.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,21.150,21.150,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,21.400,21.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,21.900,21.900,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,22.400,22.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,22.900,22.900,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,23.400,23.400,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,23.901,23.901,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,24.401,24.401,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,24.650,24.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_1,,,POINT,25.150,25.150,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_2,,,POINT,25.650,25.650,NA,,
f_3,2021-12-06 22:57:26,,C:/Users/Eliana/Dropbox/2021/2021 Fall/EE595/f_3.mov,350.020,30.03,No focal subject,3beats_3,,,POINT,26.150,26.150,NA,,
