Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,Sync_end,,,POINT,18.901,18.901,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_2,,,POINT,24.401,24.401,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_3,,,POINT,25.651,25.651,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_1,,,POINT,26.650,26.650,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_2,,,POINT,27.650,27.650,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_3,,,POINT,28.650,28.650,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_1,,,POINT,29.651,29.651,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_2,,,POINT,30.650,30.650,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_3,,,POINT,31.651,31.651,NA,,
meta_p3,2021-12-13 01:13:22,,C:/Users/user/Dropbox/2021/2021 Fall/EE595/p3_m.mov,346.200,30.02,No focal subject,3beats_1,,,POINT,32.651,32.651,NA,,
