,beats,dynamic
0,0,n
1,0,n
2,1,p
3,0,n
4,0,n
5,1,f
6,0,n
7,1,p
8,1,f
9,0,n
10,0,n
11,1,p
12,0,n
13,0,n
14,1,f
15,1,p
16,0,n
17,1,f
18,0,n
19,0,n
20,1,p
21,0,n
22,0,n
23,1,f
24,1,f
25,1,p
26,1,p
27,0,n
28,0,n
29,1,p
30,0,n
31,1,p
32,1,f
33,0,n
34,0,n
35,1,f
36,1,p
37,1,f
38,1,f
39,0,n
40,0,n
41,1,p
42,0,n
43,1,f
44,1,p
45,0,n
46,0,n
47,1,p
48,1,p
49,0,n
50,1,f
51,0,n
52,0,n
53,1,p
54,0,n
55,1,f
56,1,f
57,0,n
58,0,n
59,1,p
60,1,p
61,1,p
62,1,p
63,0,n
64,1,f
65,1,p
66,0,n
67,1,f
68,1,p
69,0,n
70,1,f
71,1,p
72,1,p
73,1,p
74,0,n
75,0,n
76,1,f
77,1,p
78,0,n
79,1,p
80,1,p
81,0,n
82,1,f
83,1,p
84,0,n
85,1,f
86,0,n
87,0,n
88,1,n
89,1,n
90,0,n
91,1,n
92,1,n
93,0,n
94,1,n
95,1,n
96,1,n
97,1,n
98,1,n
99,0,n
100,0,n
101,1,n
102,0,n
103,1,n
104,1,n
105,0,n
106,0,n
107,1,n
108,1,n
109,0,n
110,1,n
111,0,n
112,0,n
113,1,n
114,0,n
115,1,n
116,1,n
117,0,n
118,0,n
119,1,n
120,1,n
121,0,n
122,1,n
123,0,n
124,0,n
125,1,n
126,0,n
127,1,n
128,1,n
129,0,n
130,0,n
131,1,n
132,1,n
133,1,n
134,1,n
135,0,n
136,1,n
137,1,n
138,0,n
139,1,n
140,1,n
141,0,n
142,1,n
143,1,n
144,1,n
